team1,team2,score1,score2,event,date,match_url,winner,rank1,rank2
NEXVOID,The Huns,2,0,MESA Pro Series Opening 2026,Results for February 5th 2026,https://www.hltv.org/matches/2389907/nexvoid-vs-the-huns-mesa-pro-series-opening-2026,NEXVOID,74,67
BetBoom,KOLESIE,2,0,CCT Season 3 Europe Series 14,Results for February 5th 2026,https://www.hltv.org/matches/2389566/betboom-vs-kolesie-cct-season-3-europe-series-14,BetBoom,32,54
ECSTATIC,GenOne,2,0,NODWIN Clutch Series 4,Results for February 5th 2026,https://www.hltv.org/matches/2389236/ecstatic-vs-genone-nodwin-clutch-series-4,ECSTATIC,50,56
9INE,los kogutos,2,0,CCT Season 3 Europe Series 14,Results for February 4th 2026,https://www.hltv.org/matches/2389565/9ine-vs-los-kogutos-cct-season-3-europe-series-14,9INE,41,89
Betclic,illwill,0,2,NODWIN Clutch Series 4,Results for February 4th 2026,https://www.hltv.org/matches/2389235/betclic-vs-illwill-nodwin-clutch-series-4,illwill,93,46
BetBoom,FORZE Reload,2,1,CCT Season 3 Europe Series 14,Results for February 4th 2026,https://www.hltv.org/matches/2389564/betboom-vs-forze-reload-cct-season-3-europe-series-14,BetBoom,32,90
9INE,Nuclear TigeRES,0,2,NODWIN Clutch Series 4,Results for February 4th 2026,https://www.hltv.org/matches/2389234/9ine-vs-nuclear-tigeres-nodwin-clutch-series-4,Nuclear TigeRES,41,43
Oramond,FAVBET,3,2,European Pro League Series 4,Results for February 4th 2026,https://www.hltv.org/matches/2389058/oramond-vs-favbet-european-pro-league-series-4,Oramond,51,68
ENCE,ex-RUBY,0,2,CCT Season 3 Europe Series 14,Results for February 4th 2026,https://www.hltv.org/matches/2389563/ence-vs-ex-ruby-cct-season-3-europe-series-14,ex-RUBY,70,57
ECSTATIC,Sangal,2,0,NODWIN Clutch Series 4,Results for February 4th 2026,https://www.hltv.org/matches/2389233/ecstatic-vs-sangal-nodwin-clutch-series-4,ECSTATIC,50,97
Nuclear TigeRES,KOLESIE,1,2,CCT Season 3 Europe Series 14,Results for February 4th 2026,https://www.hltv.org/matches/2389562/nuclear-tigeres-vs-kolesie-cct-season-3-europe-series-14,KOLESIE,43,54
Nemiga,K27,0,2,Exort Cataclysm Season 1,Results for February 3rd 2026,https://www.hltv.org/matches/2389731/nemiga-vs-k27-exort-cataclysm-season-1,K27,55,40
