team1,team2,score1,score2,event,date,match_url,winner,rank1,rank2
NRG,Voca,2,0,PrizePicks NA Revival Series 10,Results for October 26th 2025,https://www.hltv.org/matches/2387374/nrg-vs-voca-prizepicks-na-revival-series-10,NRG,19,49
BetBoom,MIBR,2,1,PGL Masters Bucharest 2025,Results for October 26th 2025,https://www.hltv.org/matches/2387103/betboom-vs-mibr-pgl-masters-bucharest-2025,BetBoom,32,28
GamerLegion,FlyQuest,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,https://www.hltv.org/matches/2387100/gamerlegion-vs-flyquest-pgl-masters-bucharest-2025,GamerLegion,20,29
HEROIC,Ninjas in Pyjamas,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,https://www.hltv.org/matches/2387101/heroic-vs-ninjas-in-pyjamas-pgl-masters-bucharest-2025,HEROIC,22,21
Legacy,Liquid,1,2,PGL Masters Bucharest 2025,Results for October 26th 2025,https://www.hltv.org/matches/2387098/legacy-vs-liquid-pgl-masters-bucharest-2025,Liquid,25,15
paiN,Gentle Mates,2,0,PGL Masters Bucharest 2025,Results for October 26th 2025,https://www.hltv.org/matches/2387099/pain-vs-gentle-mates-pgl-masters-bucharest-2025,paiN,18,27
Voca,BOSS,2,0,PrizePicks NA Revival Series 10,Results for October 25th 2025,https://www.hltv.org/matches/2387370/voca-vs-boss-prizepicks-na-revival-series-10,Voca,49,94
1win,ECSTATIC,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 25th 2025,https://www.hltv.org/matches/2387188/1win-vs-ecstatic-esl-challenger-league-season-50-europe-cup-4,1win,77,50
Johnny Speeds,ARCRED,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for October 25th 2025,https://www.hltv.org/matches/2387192/johnny-speeds-vs-arcred-esl-challenger-league-season-50-europe-cup-4,ARCRED,73,60
BESTIA,Sharks,0,2,CBCS Masters Xeque Mate 2025,Results for October 25th 2025,https://www.hltv.org/matches/2387359/bestia-vs-sharks-cbcs-masters-xeque-mate-2025,Sharks,37,39
Gaimin Gladiators,Bounty Hunters,2,1,ESL Challenger League Season 50 South America Cup 4,Results for October 25th 2025,https://www.hltv.org/matches/2387246/gaimin-gladiators-vs-bounty-hunters-esl-challenger-league-season-50-south-america-cup-4,Gaimin Gladiators,64,88
BESTIA,Bounty Hunters,2,0,CBCS Masters Xeque Mate 2025,Results for October 24th 2025,https://www.hltv.org/matches/2387355/bestia-vs-bounty-hunters-cbcs-masters-xeque-mate-2025,BESTIA,37,88
ARCRED,SINNERS,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for October 24th 2025,https://www.hltv.org/matches/2387181/arcred-vs-sinners-esl-challenger-league-season-50-europe-cup-4,SINNERS,60,65
CYBERSHOKE,ECSTATIC,0,2,Winline Insight Season 9,Results for October 24th 2025,https://www.hltv.org/matches/2387009/cybershoke-vs-ecstatic-winline-insight-season-9,ECSTATIC,58,50
Fake do Biru,ODDIK,2,1,CBCS Masters Xeque Mate 2025,Results for October 23rd 2025,https://www.hltv.org/matches/2387358/fake-do-biru-vs-oddik-cbcs-masters-xeque-mate-2025,Fake do Biru,100,47
FORZE Reload,Oramond,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for October 23rd 2025,https://www.hltv.org/matches/2387177/forze-reload-vs-oramond-esl-challenger-league-season-50-europe-cup-4,FORZE Reload,90,51
Nemiga,Sangal,1,2,Winline Insight Season 9,Results for October 23rd 2025,https://www.hltv.org/matches/2387008/nemiga-vs-sangal-winline-insight-season-9,Sangal,55,97
ECSTATIC,SINNERS,0,2,Winline Insight Season 9,Results for October 23rd 2025,https://www.hltv.org/matches/2387007/ecstatic-vs-sinners-winline-insight-season-9,SINNERS,50,65
BOSS,Voca,0,2,Dust2.us Eagle Masters Series 4,Results for October 23rd 2025,https://www.hltv.org/matches/2387120/boss-vs-voca-dust2us-eagle-masters-series-4,Voca,94,49
Johnny Speeds,ARCRED,2,0,CCT Season 3 Europe Series 9,Results for October 22nd 2025,https://www.hltv.org/matches/2386901/johnny-speeds-vs-arcred-cct-season-3-europe-series-9,Johnny Speeds,73,60
BIG,BC.Game,2,0,Skyesports Chennai Esports Global Championship 2025 Europe Open Qualifier,Results for October 22nd 2025,https://www.hltv.org/matches/2387118/big-vs-bcgame-skyesports-chennai-esports-global-championship-2025-europe-open-qualifier,BIG,63,26
CYBERSHOKE,SINNERS,0,2,Winline Insight Season 9,Results for October 21st 2025,https://www.hltv.org/matches/2387000/cybershoke-vs-sinners-winline-insight-season-9,SINNERS,58,65
CYBERSHOKE,Sangal,0,2,CCT Season 3 Europe Series 9,Results for October 21st 2025,https://www.hltv.org/matches/2386895/cybershoke-vs-sangal-cct-season-3-europe-series-9,Sangal,58,97
Johnny Speeds,Sangal,0,2,Winline Insight Season 9,Results for October 20th 2025,https://www.hltv.org/matches/2386998/johnny-speeds-vs-sangal-winline-insight-season-9,Sangal,73,97
RED Canids,Gaimin Gladiators,1,2,ESL Challenger League Season 50 South America Cup 3,Results for October 20th 2025,https://www.hltv.org/matches/2386606/red-canids-vs-gaimin-gladiators-esl-challenger-league-season-50-south-america-cup-3,Gaimin Gladiators,38,64
FURIA,Natus Vincere,3,2,Thunderpick World Championship 2025,Results for October 19th 2025,https://www.hltv.org/matches/2386809/furia-vs-natus-vincere-thunderpick-world-championship-2025,FURIA,2,8
Nemiga,ENCE,2,0,NODWIN Clutch Series 1,Results for October 19th 2025,https://www.hltv.org/matches/2386752/nemiga-vs-ence-nodwin-clutch-series-1,Nemiga,55,70
ENCE,1win,2,1,NODWIN Clutch Series 1,Results for October 19th 2025,https://www.hltv.org/matches/2386751/ence-vs-1win-nodwin-clutch-series-1,ENCE,70,77
Aurora,The MongolZ,1,2,Thunderpick World Championship 2025,Results for October 19th 2025,https://www.hltv.org/matches/2386808/aurora-vs-the-mongolz-thunderpick-world-championship-2025,The MongolZ,11,10
9INE,Nemiga,1,2,NODWIN Clutch Series 1,Results for October 19th 2025,https://www.hltv.org/matches/2386750/9ine-vs-nemiga-nodwin-clutch-series-1,Nemiga,41,55
3DMAX,Legacy,2,3,CS Asia Championships 2025,Results for October 19th 2025,https://www.hltv.org/matches/2386848/3dmax-vs-legacy-cs-asia-championships-2025,Legacy,13,25
Liquid,HEROIC,2,0,CS Asia Championships 2025,Results for October 19th 2025,https://www.hltv.org/matches/2386847/liquid-vs-heroic-cs-asia-championships-2025,Liquid,15,22
Wildcard,Marsborne,1,0,ESL Challenger League Season 50 North America Cup 3,Results for October 19th 2025,https://www.hltv.org/matches/2386635/wildcard-vs-marsborne-esl-challenger-league-season-50-north-america-cup-3,Wildcard,75,53
Bounty Hunters,Sharks,0,2,CCT Season 3 South America Series 5,Results for October 19th 2025,https://www.hltv.org/matches/2386715/bounty-hunters-vs-sharks-cct-season-3-south-america-series-5,Sharks,88,39
Fake do Biru,Sharks,0,2,CCT Season 3 South America Series 5,Results for October 18th 2025,https://www.hltv.org/matches/2386713/fake-do-biru-vs-sharks-cct-season-3-south-america-series-5,Sharks,100,39
Natus Vincere,The MongolZ,2,1,Thunderpick World Championship 2025,Results for October 18th 2025,https://www.hltv.org/matches/2386807/natus-vincere-vs-the-mongolz-thunderpick-world-championship-2025,Natus Vincere,8,10
BIG,1win,0,2,NODWIN Clutch Series 1,Results for October 18th 2025,https://www.hltv.org/matches/2386748/big-vs-1win-nodwin-clutch-series-1,1win,63,77
FURIA,Aurora,2,0,Thunderpick World Championship 2025,Results for October 18th 2025,https://www.hltv.org/matches/2386806/furia-vs-aurora-thunderpick-world-championship-2025,FURIA,2,11
HEROIC,Legacy,1,2,CS Asia Championships 2025,Results for October 18th 2025,https://www.hltv.org/matches/2386846/heroic-vs-legacy-cs-asia-championships-2025,Legacy,22,25
Nemiga,Nuclear TigeRES,2,1,NODWIN Clutch Series 1,Results for October 18th 2025,https://www.hltv.org/matches/2386746/nemiga-vs-nuclear-tigeres-nodwin-clutch-series-1,Nemiga,55,43
Liquid,3DMAX,1,2,CS Asia Championships 2025,Results for October 18th 2025,https://www.hltv.org/matches/2386845/liquid-vs-3dmax-cs-asia-championships-2025,3DMAX,15,13
Alliance,Johnny Speeds,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 17th 2025,https://www.hltv.org/matches/2386573/alliance-vs-johnny-speeds-esl-challenger-league-season-50-europe-cup-3,Alliance,76,73
The Huns,Rare Atom,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 17th 2025,https://www.hltv.org/matches/2386530/the-huns-vs-rare-atom-esl-challenger-league-season-50-asia-pacific-cup-3,Rare Atom,67,72
The MongolZ,9z,2,0,Thunderpick World Championship 2025,Results for October 17th 2025,https://www.hltv.org/matches/2386804/the-mongolz-vs-9z-thunderpick-world-championship-2025,The MongolZ,10,42
Legacy,FUT,2,1,CS Asia Championships 2025,Results for October 17th 2025,https://www.hltv.org/matches/2386844/legacy-vs-fut-cs-asia-championships-2025,Legacy,25,14
FAVBET,1win,0,2,NODWIN Clutch Series 1,Results for October 17th 2025,https://www.hltv.org/matches/2386742/favbet-vs-1win-nodwin-clutch-series-1,1win,68,77
fnatic,3DMAX,1,2,CS Asia Championships 2025,Results for October 17th 2025,https://www.hltv.org/matches/2386843/fnatic-vs-3dmax-cs-asia-championships-2025,3DMAX,33,13
ODDIK,Gaimin Gladiators,1,2,ESL Challenger League Season 50 South America Cup 3,Results for October 17th 2025,https://www.hltv.org/matches/2386603/oddik-vs-gaimin-gladiators-esl-challenger-league-season-50-south-america-cup-3,Gaimin Gladiators,47,64
Natus Vincere,Aurora,2,1,Thunderpick World Championship 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386802/natus-vincere-vs-aurora-thunderpick-world-championship-2025,Natus Vincere,8,11
RED Canids,Bounty Hunters,0,2,CCT Season 3 South America Series 5,Results for October 16th 2025,https://www.hltv.org/matches/2386705/red-canids-vs-bounty-hunters-cct-season-3-south-america-series-5,Bounty Hunters,38,88
OG,9z,1,2,Thunderpick World Championship 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386801/og-vs-9z-thunderpick-world-championship-2025,9z,52,42
1win,UNiTY,2,1,NODWIN Clutch Series 1,Results for October 16th 2025,https://www.hltv.org/matches/2386740/1win-vs-unity-nodwin-clutch-series-1,1win,77,91
Virtus.pro,3DMAX,1,2,CS Asia Championships 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386834/virtuspro-vs-3dmax-cs-asia-championships-2025,3DMAX,61,13
FUT,FaZe,2,1,CS Asia Championships 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386842/fut-vs-faze-cs-asia-championships-2025,FUT,14,7
FURIA,The MongolZ,2,0,Thunderpick World Championship 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386800/furia-vs-the-mongolz-thunderpick-world-championship-2025,FURIA,2,10
fnatic,HEROIC,1,2,CS Asia Championships 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386841/fnatic-vs-heroic-cs-asia-championships-2025,HEROIC,33,22
Liquid,Legacy,2,1,CS Asia Championships 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386833/liquid-vs-legacy-cs-asia-championships-2025,Liquid,15,25
FaZe,TYLOO,2,1,CS Asia Championships 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386840/faze-vs-tyloo-cs-asia-championships-2025,FaZe,7,30
paiN,FUT,0,2,CS Asia Championships 2025,Results for October 16th 2025,https://www.hltv.org/matches/2386839/pain-vs-fut-cs-asia-championships-2025,FUT,18,14
ODDIK,ShindeN,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 16th 2025,https://www.hltv.org/matches/2386602/oddik-vs-shinden-esl-challenger-league-season-50-south-america-cup-3,ODDIK,47,71
Sangal,Johnny Speeds,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 15th 2025,https://www.hltv.org/matches/2386570/sangal-vs-johnny-speeds-esl-challenger-league-season-50-europe-cup-3,Sangal,97,73
Natus Vincere,Imperial,2,1,Thunderpick World Championship 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386798/natus-vincere-vs-imperial-thunderpick-world-championship-2025,Natus Vincere,8,23
The Huns,Rare Atom,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 15th 2025,https://www.hltv.org/matches/2386528/the-huns-vs-rare-atom-esl-challenger-league-season-50-asia-pacific-cup-3,The Huns,67,72
The MongolZ,9z,2,0,Thunderpick World Championship 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386797/the-mongolz-vs-9z-thunderpick-world-championship-2025,The MongolZ,10,42
Lynn Vision,3DMAX,0,2,CS Asia Championships 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386832/lynn-vision-vs-3dmax-cs-asia-championships-2025,3DMAX,36,13
Virtus.pro,MIBR,2,0,CS Asia Championships 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386831/virtuspro-vs-mibr-cs-asia-championships-2025,Virtus.pro,61,28
FURIA,OG,2,0,Thunderpick World Championship 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386796/furia-vs-og-thunderpick-world-championship-2025,FURIA,2,52
fnatic,TYLOO,2,0,CS Asia Championships 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386837/fnatic-vs-tyloo-cs-asia-championships-2025,fnatic,33,30
FUT,HEROIC,0,2,CS Asia Championships 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386838/fut-vs-heroic-cs-asia-championships-2025,HEROIC,14,22
FaZe,B8,2,1,CS Asia Championships 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386836/faze-vs-b8-cs-asia-championships-2025,FaZe,7,16
paiN,Fluxo,2,1,CS Asia Championships 2025,Results for October 15th 2025,https://www.hltv.org/matches/2386835/pain-vs-fluxo-cs-asia-championships-2025,paiN,18,66
Marsborne,Wildcard,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 15th 2025,https://www.hltv.org/matches/2386628/marsborne-vs-wildcard-esl-challenger-league-season-50-north-america-cup-3,Marsborne,53,75
Gaimin Gladiators,Fake do Biru,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 15th 2025,https://www.hltv.org/matches/2386599/gaimin-gladiators-vs-fake-do-biru-esl-challenger-league-season-50-south-america-cup-3,Gaimin Gladiators,64,100
ODDIK,RED Canids,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 15th 2025,https://www.hltv.org/matches/2386597/oddik-vs-red-canids-esl-challenger-league-season-50-south-america-cup-3,RED Canids,47,38
SINNERS,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 14th 2025,https://www.hltv.org/matches/2386563/sinners-vs-monte-esl-challenger-league-season-50-europe-cup-3,Monte,65,31
ARCRED,Alliance,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 14th 2025,https://www.hltv.org/matches/2386565/arcred-vs-alliance-esl-challenger-league-season-50-europe-cup-3,Alliance,60,76
3DMAX,Legacy,1,2,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386829/3dmax-vs-legacy-cs-asia-championships-2025,Legacy,13,25
Liquid,MIBR,2,0,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386830/liquid-vs-mibr-cs-asia-championships-2025,Liquid,15,28
GamerLegion,Lynn Vision,1,2,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386828/gamerlegion-vs-lynn-vision-cs-asia-championships-2025,Lynn Vision,20,36
The Huns,Virtus.pro,0,2,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386827/the-huns-vs-virtuspro-cs-asia-championships-2025,Virtus.pro,67,61
HEROIC,B8,16,12,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386825/heroic-vs-b8-cs-asia-championships-2025,HEROIC,22,16
FaZe,FUT,11,13,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386826/faze-vs-fut-cs-asia-championships-2025,FUT,7,14
TYLOO,Fluxo,22,20,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386823/tyloo-vs-fluxo-cs-asia-championships-2025,TYLOO,30,66
paiN,fnatic,8,13,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386824/pain-vs-fnatic-cs-asia-championships-2025,fnatic,18,33
Lynn Vision,MIBR,4,13,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386822/lynn-vision-vs-mibr-cs-asia-championships-2025,MIBR,36,28
GamerLegion,Liquid,9,13,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386821/gamerlegion-vs-liquid-cs-asia-championships-2025,Liquid,20,15
Virtus.pro,Legacy,2,13,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386820/virtuspro-vs-legacy-cs-asia-championships-2025,Legacy,61,25
3DMAX,The Huns,13,1,CS Asia Championships 2025,Results for October 14th 2025,https://www.hltv.org/matches/2386819/3dmax-vs-the-huns-cs-asia-championships-2025,3DMAX,13,67
BetBoom,SINNERS,2,0,Exort The Proving Grounds Season 5,Results for October 13th 2025,https://www.hltv.org/matches/2386434/betboom-vs-sinners-exort-the-proving-grounds-season-5,BetBoom,32,65
1win,Nuclear TigeRES,0,2,NODWIN Clutch Series 1,Results for October 13th 2025,https://www.hltv.org/matches/2386732/1win-vs-nuclear-tigeres-nodwin-clutch-series-1,Nuclear TigeRES,77,43
ECSTATIC,SINNERS,1,2,Exort The Proving Grounds Season 5,Results for October 13th 2025,https://www.hltv.org/matches/2386433/ecstatic-vs-sinners-exort-the-proving-grounds-season-5,SINNERS,50,65
FAVBET,UNiTY,2,0,NODWIN Clutch Series 1,Results for October 13th 2025,https://www.hltv.org/matches/2386730/favbet-vs-unity-nodwin-clutch-series-1,FAVBET,68,91
9z,BESTIA,2,3,Argentina Game Show Cup 2025,Results for October 13th 2025,https://www.hltv.org/matches/2386781/9z-vs-bestia-argentina-game-show-cup-2025,BESTIA,42,37
9INE,SINNERS,0,2,Exort The Proving Grounds Season 5,Results for October 12th 2025,https://www.hltv.org/matches/2386431/9ine-vs-sinners-exort-the-proving-grounds-season-5,SINNERS,41,65
Falcons,Vitality,0,3,ESL Pro League Season 22,Results for October 12th 2025,https://www.hltv.org/matches/2385970/falcons-vs-vitality-esl-pro-league-season-22,Vitality,3,1
BetBoom,1win,2,0,CCT Season 3 Europe Series 8,Results for October 12th 2025,https://www.hltv.org/matches/2386345/betboom-vs-1win-cct-season-3-europe-series-8,BetBoom,32,77
PARIVISION,Inner Circle,3,0,Galaxy Battle 2025 Phase 4,Results for October 12th 2025,https://www.hltv.org/matches/2386215/parivision-vs-inner-circle-galaxy-battle-2025-phase-4,PARIVISION,6,44
MOUZ,FaZe,2,0,ESL Pro League Season 22,Results for October 12th 2025,https://www.hltv.org/matches/2385969/mouz-vs-faze-esl-pro-league-season-22,MOUZ,4,7
BetBoom,Johnny Speeds,2,1,Exort The Proving Grounds Season 5,Results for October 12th 2025,https://www.hltv.org/matches/2386428/betboom-vs-johnny-speeds-exort-the-proving-grounds-season-5,BetBoom,32,73
FaZe,Vitality,1,2,ESL Pro League Season 22,Results for October 11th 2025,https://www.hltv.org/matches/2385968/faze-vs-vitality-esl-pro-league-season-22,Vitality,7,1
Inner Circle,Nemiga,2,0,Galaxy Battle 2025 Phase 4,Results for October 11th 2025,https://www.hltv.org/matches/2386214/inner-circle-vs-nemiga-galaxy-battle-2025-phase-4,Inner Circle,44,55
PARIVISION,Gentle Mates,2,0,Galaxy Battle 2025 Phase 4,Results for October 11th 2025,https://www.hltv.org/matches/2386213/parivision-vs-gentle-mates-galaxy-battle-2025-phase-4,PARIVISION,6,27
MOUZ,Falcons,0,2,ESL Pro League Season 22,Results for October 11th 2025,https://www.hltv.org/matches/2385967/mouz-vs-falcons-esl-pro-league-season-22,Falcons,4,3
Sashi,Johnny Speeds,0,2,Exort The Proving Grounds Season 5,Results for October 11th 2025,https://www.hltv.org/matches/2386425/sashi-vs-johnny-speeds-exort-the-proving-grounds-season-5,Johnny Speeds,78,73
1win,JiJieHao,1,0,CCT Season 3 Europe Series 8,Results for October 11th 2025,https://www.hltv.org/matches/2386340/1win-vs-jijiehao-cct-season-3-europe-series-8,1win,77,79
BESTIA,ShindeN,13,5,Argentina Game Show Cup 2025,Results for October 11th 2025,https://www.hltv.org/matches/2386776/bestia-vs-shinden-argentina-game-show-cup-2025,BESTIA,37,71
Alliance,Johnny Speeds,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 10th 2025,https://www.hltv.org/matches/2386561/alliance-vs-johnny-speeds-esl-challenger-league-season-50-europe-cup-3,Johnny Speeds,76,73
FURIA,Vitality,1,2,ESL Pro League Season 22,Results for October 10th 2025,https://www.hltv.org/matches/2385966/furia-vs-vitality-esl-pro-league-season-22,Vitality,2,1
Gentle Mates,Betclic,2,1,Galaxy Battle 2025 Phase 4,Results for October 10th 2025,https://www.hltv.org/matches/2386212/gentle-mates-vs-betclic-galaxy-battle-2025-phase-4,Gentle Mates,27,93
FAVBET,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 10th 2025,https://www.hltv.org/matches/2386555/favbet-vs-monte-esl-challenger-league-season-50-europe-cup-3,Monte,68,31
ECSTATIC,Oramond,2,0,Exort The Proving Grounds Season 5,Results for October 10th 2025,https://www.hltv.org/matches/2386423/ecstatic-vs-oramond-exort-the-proving-grounds-season-5,ECSTATIC,50,51
Spirit,FaZe,0,2,ESL Pro League Season 22,Results for October 10th 2025,https://www.hltv.org/matches/2385965/spirit-vs-faze-esl-pro-league-season-22,FaZe,5,7
BetBoom,Sangal,2,1,Exort The Proving Grounds Season 5,Results for October 10th 2025,https://www.hltv.org/matches/2386422/betboom-vs-sangal-exort-the-proving-grounds-season-5,BetBoom,32,97
Sashi,CYBERSHOKE,2,0,CCT Season 3 Europe Series 8,Results for October 10th 2025,https://www.hltv.org/matches/2386338/sashi-vs-cybershoke-cct-season-3-europe-series-8,Sashi,78,58
Monte,Inner Circle,0,2,Galaxy Battle 2025 Phase 4,Results for October 10th 2025,https://www.hltv.org/matches/2386211/monte-vs-inner-circle-galaxy-battle-2025-phase-4,Inner Circle,31,44
MOUZ,Natus Vincere,2,1,ESL Pro League Season 22,Results for October 10th 2025,https://www.hltv.org/matches/2385964/mouz-vs-natus-vincere-esl-pro-league-season-22,MOUZ,4,8
3DMAX,Falcons,1,2,ESL Pro League Season 22,Results for October 10th 2025,https://www.hltv.org/matches/2385963/3dmax-vs-falcons-esl-pro-league-season-22,Falcons,13,3
CYBERSHOKE,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,https://www.hltv.org/matches/2386547/cybershoke-vs-monte-esl-challenger-league-season-50-europe-cup-3,Monte,58,31
FAVBET,EYEBALLERS,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,https://www.hltv.org/matches/2386548/favbet-vs-eyeballers-esl-challenger-league-season-50-europe-cup-3,FAVBET,68,34
Nemiga,JiJieHao,2,1,Galaxy Battle 2025 Phase 4,Results for October 9th 2025,https://www.hltv.org/matches/2386209/nemiga-vs-jijiehao-galaxy-battle-2025-phase-4,Nemiga,55,79
ECSTATIC,EYEBALLERS,1,2,CCT Season 3 Europe Series 8,Results for October 9th 2025,https://www.hltv.org/matches/2386334/ecstatic-vs-eyeballers-cct-season-3-europe-series-8,EYEBALLERS,50,34
Tricked,UNiTY,1,2,NODWIN Clutch Series 1,Results for October 9th 2025,https://www.hltv.org/matches/2386723/tricked-vs-unity-nodwin-clutch-series-1,UNiTY,59,91
Sangal,JiJieHao,2,1,Exort The Proving Grounds Season 5,Results for October 9th 2025,https://www.hltv.org/matches/2386417/sangal-vs-jijiehao-exort-the-proving-grounds-season-5,Sangal,97,79
JiJieHao,Johnny Speeds,2,1,CCT Season 3 Europe Series 8,Results for October 9th 2025,https://www.hltv.org/matches/2386332/jijiehao-vs-johnny-speeds-cct-season-3-europe-series-8,JiJieHao,79,73
Gaimin Gladiators,ODDIK,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,https://www.hltv.org/matches/2386589/gaimin-gladiators-vs-oddik-esl-challenger-league-season-50-south-america-cup-3,ODDIK,64,47
Monte,Sangal,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,https://www.hltv.org/matches/2386546/monte-vs-sangal-esl-challenger-league-season-50-europe-cup-3,Sangal,31,97
Aurora,FaZe,1,2,ESL Pro League Season 22,Results for October 8th 2025,https://www.hltv.org/matches/2385962/aurora-vs-faze-esl-pro-league-season-22,FaZe,11,7
Oramond,1win,2,0,NODWIN Clutch Series 1,Results for October 8th 2025,https://www.hltv.org/matches/2386720/oramond-vs-1win-nodwin-clutch-series-1,Oramond,51,77
G2,3DMAX,0,2,ESL Pro League Season 22,Results for October 8th 2025,https://www.hltv.org/matches/2385961/g2-vs-3dmax-esl-pro-league-season-22,3DMAX,9,13
PARIVISION,FAVBET,2,0,Galaxy Battle 2025 Phase 4,Results for October 8th 2025,https://www.hltv.org/matches/2386207/parivision-vs-favbet-galaxy-battle-2025-phase-4,PARIVISION,6,68
Tricked,EYEBALLERS,0,2,CCT Season 3 Europe Series 8,Results for October 8th 2025,https://www.hltv.org/matches/2386330/tricked-vs-eyeballers-cct-season-3-europe-series-8,EYEBALLERS,59,34
The MongolZ,Natus Vincere,0,2,ESL Pro League Season 22,Results for October 8th 2025,https://www.hltv.org/matches/2385960/the-mongolz-vs-natus-vincere-esl-pro-league-season-22,Natus Vincere,10,8
ARCRED,Betclic,0,2,Exort The Proving Grounds Season 5,Results for October 8th 2025,https://www.hltv.org/matches/2386415/arcred-vs-betclic-exort-the-proving-grounds-season-5,Betclic,60,93
JiJieHao,Tricked,2,0,Exort The Proving Grounds Season 5,Results for October 8th 2025,https://www.hltv.org/matches/2386414/jijiehao-vs-tricked-exort-the-proving-grounds-season-5,JiJieHao,79,59
CYBERSHOKE,Nemiga,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,https://www.hltv.org/matches/2386531/cybershoke-vs-nemiga-esl-challenger-league-season-50-europe-cup-3,CYBERSHOKE,58,55
Oramond,Sashi,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,https://www.hltv.org/matches/2386533/oramond-vs-sashi-esl-challenger-league-season-50-europe-cup-3,Sashi,51,78
Vitality,G2,2,0,ESL Pro League Season 22,Results for October 7th 2025,https://www.hltv.org/matches/2385958/vitality-vs-g2-esl-pro-league-season-22,Vitality,1,9
FaZe,Inner Circle,2,0,ESL Pro League Season 22,Results for October 7th 2025,https://www.hltv.org/matches/2385959/faze-vs-inner-circle-esl-pro-league-season-22,FaZe,7,44
Sashi,Monte,0,2,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,https://www.hltv.org/matches/2386203/sashi-vs-monte-galaxy-battle-2025-phase-4,Monte,78,31
3DMAX,MOUZ,0,2,ESL Pro League Season 22,Results for October 7th 2025,https://www.hltv.org/matches/2385956/3dmax-vs-mouz-esl-pro-league-season-22,MOUZ,13,4
The MongolZ,Gentle Mates,2,0,ESL Pro League Season 22,Results for October 7th 2025,https://www.hltv.org/matches/2385957/the-mongolz-vs-gentle-mates-esl-pro-league-season-22,The MongolZ,10,27
Sangal,SINNERS,0,2,Exort The Proving Grounds Season 5,Results for October 7th 2025,https://www.hltv.org/matches/2386413/sangal-vs-sinners-exort-the-proving-grounds-season-5,SINNERS,97,65
FURIA,Aurora,2,1,ESL Pro League Season 22,Results for October 7th 2025,https://www.hltv.org/matches/2385954/furia-vs-aurora-esl-pro-league-season-22,FURIA,2,11
