team1,team2,score1,score2,event,date,winner
FULL SEND,TSG,0,1,ESL Challenger League Season 50 North America Cup 3,Results for October 10th 2025,TSG
2GAME,LP,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 10th 2025,2GAME
KRÜ,FOLHA AMARELA,0,2,CCT Season 3 South America Series 5,Results for October 10th 2025,FOLHA AMARELA
Gaimin Gladiators,Tropa do KinGui,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 10th 2025,Gaimin Gladiators
FURIA fe,Four Magic fe,2,0,ESL Impact League Season 8 South America,Results for October 10th 2025,FURIA fe
Sharks,Procyon,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 10th 2025,Procyon
Atrix,CAPIVARAS,2,0,ESL Impact League Season 8 South America,Results for October 10th 2025,Atrix
MANA,Phantom,3,2,T-Esports Championship Season 4,Results for October 9th 2025,MANA
ShindeN,KRÜ,1,0,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,ShindeN
CYBERSHOKE,Monte,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,Monte
Yawara,MIBR Academy,2,0,CCT Season 3 South America Series 5,Results for October 9th 2025,Yawara
FAVBET,EYEBALLERS,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,FAVBET
Nemesis Impact,Peekaboo,0,2,ESL Impact League Season 8 Europe,Results for October 9th 2025,Peekaboo
GUN5,PARIVISION,0,2,Galaxy Battle 2025 Phase 4,Results for October 9th 2025,PARIVISION
NIP Impact,AKA HERO KAJO,2,0,ESL Impact League Season 8 Europe,Results for October 9th 2025,NIP Impact
ARCRED,RUBY,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,ARCRED
500,Leo,2,1,NODWIN Clutch Series 1,Results for October 9th 2025,500
Sashi,SPARTA,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,Sashi
BetBoom,Dziuseppe,2,0,CCT Season 3 Europe Series 8,Results for October 9th 2025,BetBoom
BC.Game,Partizan,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,Partizan
Betera,NOVAQ,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,NOVAQ
Nexus,Oramond,0,2,Exort The Proving Grounds Season 5,Results for October 9th 2025,Oramond
GameHunters,Vasco,2,0,CCT Season 3 South America Series 5,Results for October 9th 2025,GameHunters
Nemiga,JiJieHao,2,1,Galaxy Battle 2025 Phase 4,Results for October 9th 2025,Nemiga
GUN5,JiJieHao,1,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,GUN5
ECSTATIC,EYEBALLERS,1,2,CCT Season 3 Europe Series 8,Results for October 9th 2025,EYEBALLERS
ECLOT,GLORE,2,1,Slovak National Championship 2025 Finals,Results for October 9th 2025,ECLOT
Insilio,The Glecs,1,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 9th 2025,Insilio
Tricked,UNiTY,1,2,NODWIN Clutch Series 1,Results for October 9th 2025,UNiTY
33,Betclic,2,0,Exort The Proving Grounds Season 5,Results for October 9th 2025,33
Spirit Academy,1win,1,2,CCT Season 3 Europe Series 8,Results for October 9th 2025,1win
Players,UnderDogs,0,2,CCT Season 3 South America Series 5,Results for October 9th 2025,UnderDogs
Just Swing,Kaleido,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 9th 2025,Kaleido
DEPO,FengDa,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 9th 2025,FengDa
kONO,FORZE Reload,2,1,NODWIN Clutch Series 1,Results for October 9th 2025,kONO
Sangal,JiJieHao,2,1,Exort The Proving Grounds Season 5,Results for October 9th 2025,Sangal
G2 Ares,Aurora Young Blud,1,2,European Pro League Cup 1,Results for October 9th 2025,Aurora Young Blud
SINNERS,BRUTE,2,0,Slovak National Championship 2025 Finals,Results for October 9th 2025,SINNERS
RUBY,Betera,0,2,Winline Insight Season 8,Results for October 9th 2025,Betera
ESC,ECLOT,2,0,Winline Insight Season 8,Results for October 9th 2025,ESC
JiJieHao,Johnny Speeds,2,1,CCT Season 3 Europe Series 8,Results for October 9th 2025,JiJieHao
fish123,ENCE Academy,2,0,European Pro League Cup 1,Results for October 9th 2025,fish123
RUBY,Nuclear TigeRES,2,0,NODWIN Clutch Series 1,Results for October 9th 2025,RUBY
TSG,NuTorious,2,1,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,TSG
Marsborne,LAG,2,1,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,Marsborne
BOSS,Zomblers,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,BOSS
Rave,regain,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,Rave
ex-Chicken Coop,Wildcard,0,2,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,Wildcard
Shimmer,Mythic,0,2,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,Mythic
InControl,Take Flyte,0,2,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,Take Flyte
FULL SEND,Getting Info,0,2,ESL Challenger League Season 50 North America Cup 3,Results for October 9th 2025,Getting Info
Little Bocks,wwaves,0,2,ESL Impact League Season 8 North America,Results for October 9th 2025,wwaves
ex-Chicken Coop,Getting Info,1,2,CCT Season 3 North America Series 2,Results for October 9th 2025,Getting Info
Vasco,LP,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,LP
Bounty Hunters,VEXA,2,0,CCT Season 3 South America Series 5,Results for October 9th 2025,Bounty Hunters
Gaimin Gladiators,ODDIK,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,ODDIK
Dusty Roots,Sharks,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,Dusty Roots
Tropa do KinGui,GameHunters,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,Tropa do KinGui
Procyon,UnderDogs,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,Procyon
Yawara,KRÜ,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,KRÜ
2GAME,RED Canids,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,RED Canids
ShindeN,Keyd Stars,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 9th 2025,Keyd Stars
Ghost,Black Mold,1,0,ESL Impact League Season 8 North America,Results for October 9th 2025,Ghost
Dusty Roses,Curralzinho,0,2,ESL Impact League Season 8 South America,Results for October 9th 2025,Curralzinho
thekillaz fe,MIBR fe,0,2,ESL Impact League Season 8 South America,Results for October 9th 2025,MIBR fe
MAGICOS,R2,2,0,CCT Season 3 South America Series 5,Results for October 8th 2025,MAGICOS
888aura,Let Her Cook,2,0,ESL Impact League Season 8 Europe,Results for October 8th 2025,888aura
BIG EQUIPA,Imperial Valkyries,2,0,ESL Impact League Season 8 Europe,Results for October 8th 2025,BIG EQUIPA
500,EYEBALLERS,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,500
Monte,Sangal,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,Sangal
SINNERS,Insilio,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,SINNERS
JiJieHao,Zero Tenacity,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,Zero Tenacity
Aurora,FaZe,1,2,ESL Pro League Season 22,Results for October 8th 2025,FaZe
Partizan,Johnny Speeds,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,Johnny Speeds
33,NOVAQ,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,33
Oramond,1win,2,0,NODWIN Clutch Series 1,Results for October 8th 2025,Oramond
Alliance,SPARTA,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,Alliance
ESC,RUBY,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 8th 2025,ESC
Inner Circle,Eternal Fire,2,0,Galaxy Battle 2025 Phase 4,Results for October 8th 2025,Inner Circle
Superior,WildLotus,0,3,T-Esports Championship Season 4,Results for October 8th 2025,WildLotus
Betera,ECLOT,1,2,Winline Insight Season 8,Results for October 8th 2025,ECLOT
Crashers,Procyon,2,0,CCT Season 3 South America Series 5,Results for October 8th 2025,Crashers
SINNERS,Dziuseppe,0,2,CCT Season 3 Europe Series 8,Results for October 8th 2025,Dziuseppe
G2,3DMAX,0,2,ESL Pro League Season 22,Results for October 8th 2025,3DMAX
PARIVISION,FAVBET,2,0,Galaxy Battle 2025 Phase 4,Results for October 8th 2025,PARIVISION
ARCRED,Nexus,2,0,NODWIN Clutch Series 1,Results for October 8th 2025,ARCRED
Rare Atom,Kaleido,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 8th 2025,Rare Atom
SPARTA,Oramond,0,2,Exort The Proving Grounds Season 5,Results for October 8th 2025,Oramond
Just Swing,Chinggis Warriors,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 8th 2025,Just Swing
FengDa,Last Bullet,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 8th 2025,FengDa
DEPO,The Huns,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 8th 2025,The Huns
LP,JERSA,2,0,CCT Season 3 South America Series 5,Results for October 8th 2025,LP
RUBY,ESC,0,2,Winline Insight Season 8,Results for October 8th 2025,ESC
Tricked,EYEBALLERS,0,2,CCT Season 3 Europe Series 8,Results for October 8th 2025,EYEBALLERS
The MongolZ,Natus Vincere,0,2,ESL Pro League Season 22,Results for October 8th 2025,Natus Vincere
Gentle Mates,Anonymo,2,0,Galaxy Battle 2025 Phase 4,Results for October 8th 2025,Gentle Mates
ARCRED,Betclic,0,2,Exort The Proving Grounds Season 5,Results for October 8th 2025,Betclic
SPARTA,FAVBET,0,2,NODWIN Clutch Series 1,Results for October 8th 2025,FAVBET
Nemiga,500,2,1,Galaxy Battle 2025 Phase 4,Results for October 8th 2025,Nemiga
Betera,m1x,1,2,NODWIN Clutch Series 1,Results for October 8th 2025,m1x
JiJieHao,Tricked,2,0,Exort The Proving Grounds Season 5,Results for October 8th 2025,JiJieHao
Zero Tenacity,RUBY,0,2,CCT Season 3 Europe Series 8,Results for October 8th 2025,RUBY
NuTorious,Green Tea Party,2,1,ESL Challenger League Season 50 North America Cup 3,Results for October 8th 2025,NuTorious
Zomblers,Nocturnal,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 8th 2025,Zomblers
FlyQuest RED,TSG,0,2,ESL Challenger League Season 50 North America Cup 3,Results for October 8th 2025,TSG
Getting Info,regain,2,0,CCT Season 3 North America Series 2,Results for October 8th 2025,Getting Info
Mythic,Wanted Goons,1,0,ESL Challenger League Season 50 North America Cup 3,Results for October 8th 2025,Mythic
anything else,Take Flyte,0,1,ESL Challenger League Season 50 North America Cup 3,Results for October 8th 2025,Take Flyte
Procyon,Galorys,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 8th 2025,Procyon
Zomblers,ex-Chicken Coop,1,2,CCT Season 3 North America Series 2,Results for October 8th 2025,ex-Chicken Coop
Tropa do KinGui,Crashers,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 8th 2025,Tropa do KinGui
MAGICOS,Vasco,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 8th 2025,Vasco
MIBR Academy,LP,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 8th 2025,LP
JERSA,GameHunters,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 8th 2025,GameHunters
Four Magic fe,Yawara,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 8th 2025,Yawara
Bounty Hunters,FOLHA AMARELA,0,1,CCT Season 3 South America Series 5,Results for October 7th 2025,FOLHA AMARELA
UnderDogs,MAGICOS,2,1,CCT Season 3 South America Series 5,Results for October 7th 2025,UnderDogs
Players,UnderDogs,0,1,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,UnderDogs
Bounty Hunters,KRÜ,0,1,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,KRÜ
CYBERSHOKE,Nemiga,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,CYBERSHOKE
Zero Tenacity,1win,0,2,CCT Season 3 Europe Series 8,Results for October 7th 2025,1win
HubaBuba,ARCRED,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,ARCRED
Oramond,Sashi,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,Sashi
VP.Prodigy,GUN5,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,GUN5
CPH Wolves,Betera,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,Betera
Vitality,G2,2,0,ESL Pro League Season 22,Results for October 7th 2025,Vitality
Eternal Fire,FAVBET,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,FAVBET
FaZe,Inner Circle,2,0,ESL Pro League Season 22,Results for October 7th 2025,FaZe
Nexus,BC.Game,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,BC.Game
The Glecs,HOTU,1,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 7th 2025,The Glecs
GameHunters,VEXA,2,0,CCT Season 3 South America Series 5,Results for October 7th 2025,GameHunters
CYBERSHOKE,RUBY,2,1,CCT Season 3 Europe Series 8,Results for October 7th 2025,CYBERSHOKE
Sashi,Monte,0,2,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,Monte
3DMAX,MOUZ,0,2,ESL Pro League Season 22,Results for October 7th 2025,MOUZ
The MongolZ,Gentle Mates,2,0,ESL Pro League Season 22,Results for October 7th 2025,The MongolZ
Nexus,Nuclear TigeRES,1,2,NODWIN Clutch Series 1,Results for October 7th 2025,Nuclear TigeRES
Sangal,SINNERS,0,2,Exort The Proving Grounds Season 5,Results for October 7th 2025,SINNERS
Last Bullet,NomadS,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 7th 2025,Last Bullet
JiJieHao,Partizan,2,1,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,JiJieHao
JiJieHao,ESC,0,1,Winline Insight Season 8,Results for October 7th 2025,ESC
NSN,Chinggis Warriors,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 7th 2025,Chinggis Warriors
Just Swing,Legion,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 7th 2025,Just Swing
Crashers,MIBR Academy,0,2,CCT Season 3 South America Series 5,Results for October 7th 2025,MIBR Academy
FURIA,Aurora,2,1,ESL Pro League Season 22,Results for October 7th 2025,FURIA
Eruption,FengDa,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 7th 2025,FengDa
Johnny Speeds,SINNERS,2,1,CCT Season 3 Europe Series 8,Results for October 7th 2025,Johnny Speeds
33,EYEBALLERS,1,2,Exort The Proving Grounds Season 5,Results for October 7th 2025,EYEBALLERS
Animus Victoria,FURY,1,2,ESL Challenger League Season 50 Oceania Cup 3,Results for October 7th 2025,FURY
Natus Vincere,HOTU,2,0,ESL Pro League Season 22,Results for October 7th 2025,Natus Vincere
Betera,ARCRED,2,0,Winline Insight Season 8,Results for October 7th 2025,Betera
SPARTA,RUBY,0,2,NODWIN Clutch Series 1,Results for October 7th 2025,RUBY
Betclic,Alliance,2,1,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,Betclic
Rooster,Ground Zero,2,0,ESL Challenger League Season 50 Oceania Cup 3,Results for October 7th 2025,Rooster
FAVBET,1win,0,2,NODWIN Clutch Series 1,Results for October 7th 2025,1win
Nexus,Betera,0,2,Exort The Proving Grounds Season 5,Results for October 7th 2025,Betera
ARCRED,m1x,0,1,NODWIN Clutch Series 1,Results for October 7th 2025,m1x
OG,GUN5,0,1,Galaxy Battle 2025 Phase 4,Results for October 7th 2025,GUN5
Rave,Take Flyte,2,1,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,Rave
ex-Chicken Coop,Shimmer,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,ex-Chicken Coop
Getting Info,Zomblers,2,1,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,Getting Info
LAG,FlyQuest RED,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,LAG
regain,InControl,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,regain
Wildcard,Mythic,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,Wildcard
Marsborne,NuTorious,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,Marsborne
ex-Chicken Coop,InControl,2,0,CCT Season 3 North America Series 2,Results for October 7th 2025,ex-Chicken Coop
BOSS,FULL SEND,0,1,ESL Challenger League Season 50 North America Cup 3,Results for October 7th 2025,FULL SEND
KRÜ,JERSA,2,0,CCT Season 3 South America Series 5,Results for October 7th 2025,KRÜ
Sharks,Crashers,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,Sharks
RED Canids,Yawara,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,RED Canids
Keyd Stars,LP,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,Keyd Stars
ODDIK,UnderDogs,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,ODDIK
Wildcard,Zomblers,0,2,CCT Season 3 North America Series 2,Results for October 7th 2025,Zomblers
ShindeN,Vasco,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,ShindeN
Dusty Roots,GameHunters,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 7th 2025,Dusty Roots
Players,R2,2,1,CCT Season 3 South America Series 5,Results for October 7th 2025,Players
2GAME,KRÜ,1,0,ESL Challenger League Season 50 South America Cup 3,Results for October 6th 2025,2GAME
Betera,SPARTA,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,SPARTA
MOUZ,Falcons,1,2,ESL Pro League Season 22,Results for October 6th 2025,Falcons
Galorys,Gaimin Gladiators,0,1,ESL Challenger League Season 50 South America Cup 3,Results for October 6th 2025,Gaimin Gladiators
ARCRED,Johnny Speeds,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Johnny Speeds
WildLotus,Oramond,2,0,T-Esports Championship Season 4,Results for October 6th 2025,WildLotus
Tricked,Leo,1,2,NODWIN Clutch Series 1,Results for October 6th 2025,Leo
Yawara,Procyon,2,1,CCT Season 3 South America Series 5,Results for October 6th 2025,Yawara
Partizan,HubaBuba,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Partizan
EYEBALLERS,GUN5,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,EYEBALLERS
SINNERS,JiJieHao,2,0,Exort The Proving Grounds Season 5,Results for October 6th 2025,SINNERS
500,VP.Prodigy,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,500
Spirit,G2,2,0,ESL Pro League Season 22,Results for October 6th 2025,Spirit
HOTU,Sangal,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Sangal
Phantom,Sangrija,2,0,T-Esports Championship Season 4,Results for October 6th 2025,Phantom
Sashi,ECLOT,1,2,Winline Insight Season 8,Results for October 6th 2025,ECLOT
The MongolZ,GamerLegion,2,1,ESL Pro League Season 22,Results for October 6th 2025,The MongolZ
FAVBET,EYEBALLERS,1,2,CCT Season 3 Europe Series 8,Results for October 6th 2025,EYEBALLERS
The Glecs,Monte,0,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Monte
LP,Vasco,1,2,CCT Season 3 South America Series 5,Results for October 6th 2025,Vasco
500,kONO,2,0,NODWIN Clutch Series 1,Results for October 6th 2025,500
33,Tricked,2,0,Exort The Proving Grounds Season 5,Results for October 6th 2025,33
Astralis,FaZe,0,2,ESL Pro League Season 22,Results for October 6th 2025,FaZe
ScarX,Legion,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,Legion
Just Swing,The Huns,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,The Huns
NomadS,Kaleido,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,Kaleido
FengDa,Rare Atom,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,Rare Atom
Last Bullet,BORING PLAYERS,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,Last Bullet
SPARTA,Betera,1,2,Exort The Proving Grounds Season 5,Results for October 6th 2025,Betera
3DMAX,Natus Vincere,2,1,ESL Pro League Season 22,Results for October 6th 2025,3DMAX
Chinggis Warriors,DEPO,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,DEPO
Tricked,Mousquetaires,2,1,CCT Season 3 Europe Series 8,Results for October 6th 2025,Tricked
Oramond,FORZE Reload,2,1,NODWIN Clutch Series 1,Results for October 6th 2025,Oramond
True Thunder,Eruption,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,Eruption
IHC,NSN,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 6th 2025,NSN
RUBY,Alliance,2,0,Winline Insight Season 8,Results for October 6th 2025,RUBY
Inner Circle,FURIA,0,2,ESL Pro League Season 22,Results for October 6th 2025,FURIA
LE-LUX,FURY,1,2,ESL Challenger League Season 50 Oceania Cup 3,Results for October 6th 2025,FURY
ARCRED,EYEBALLERS,1,2,Exort The Proving Grounds Season 5,Results for October 6th 2025,EYEBALLERS
SemperFi,Ground Zero,2,0,ESL Challenger League Season 50 Oceania Cup 3,Results for October 6th 2025,SemperFi
Animus Victoria,Mindfreak,0,2,ESL Challenger League Season 50 Oceania Cup 3,Results for October 6th 2025,Mindfreak
Rooster,KZG,2,0,ESL Challenger League Season 50 Oceania Cup 3,Results for October 6th 2025,Rooster
Gentle Mates,Aurora,0,2,ESL Pro League Season 22,Results for October 6th 2025,Aurora
Vitality,HOTU,2,0,ESL Pro League Season 22,Results for October 6th 2025,Vitality
Betera,UNiTY,2,0,NODWIN Clutch Series 1,Results for October 6th 2025,Betera
CPH Wolves,Alliance,0,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 6th 2025,Alliance
ex-Inner Circle,Dziuseppe,0,1,CCT Season 3 Europe Series 8,Results for October 6th 2025,Dziuseppe
fnatic,9INE,3,2,Fragadelphia Blocktober 2025,Results for October 6th 2025,fnatic
TSG,FULL SEND,1,2,ESL Challenger League Season 50 North America Cup 3,Results for October 6th 2025,FULL SEND
BOSS,regain,1,2,CCT Season 3 North America Series 2,Results for October 6th 2025,regain
NuTorious,Nocturnal,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 6th 2025,NuTorious
Take Flyte,Wanted Goons,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 6th 2025,Take Flyte
Zomblers,Green Tea Party,2,0,ESL Challenger League Season 50 North America Cup 3,Results for October 6th 2025,Zomblers
anything else,Mythic,0,1,ESL Challenger League Season 50 North America Cup 3,Results for October 6th 2025,Mythic
Procyon,GameHunters,1,2,ESL Challenger League Season 50 South America Cup 3,Results for October 6th 2025,GameHunters
RED Canids,MIBR,2,3,Circuit X South America Season 1,Results for October 6th 2025,MIBR
Yawara,MIBR Academy,2,1,ESL Challenger League Season 50 South America Cup 3,Results for October 6th 2025,Yawara
Getting Info,FULL SEND,2,0,CCT Season 3 North America Series 2,Results for October 6th 2025,Getting Info
MAGICOS,KRÜ,0,2,ESL Challenger League Season 50 South America Cup 3,Results for October 6th 2025,KRÜ
OG,ECSTATIC,2,1,Fragadelphia Blocktober 2025,Results for October 6th 2025,OG
Gaimin Gladiators,JERSA,2,0,ESL Challenger League Season 50 South America Cup 3,Results for October 6th 2025,Gaimin Gladiators
Bounty Hunters,Vasco,0,1,ESL Challenger League Season 50 South America Cup 3,Results for October 5th 2025,Vasco
UnderDogs,Tropa do KinGui,1,0,ESL Challenger League Season 50 South America Cup 3,Results for October 5th 2025,UnderDogs
Players,Crashers,0,1,ESL Challenger League Season 50 South America Cup 3,Results for October 5th 2025,Crashers
Four Magic fe,LP,0,1,ESL Challenger League Season 50 South America Cup 3,Results for October 5th 2025,LP
Nemiga,Insilio,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,Insilio
Zero Tenacity,FAVBET,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,Zero Tenacity
9INE,ECSTATIC,2,1,Fragadelphia Blocktober 2025,Results for October 5th 2025,9INE
Sashi,NOVAQ,1,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,NOVAQ
Betclic,VP.Prodigy,2,1,Exort The Proving Grounds Season 5,Results for October 5th 2025,Betclic
RUBY,BC.Game,2,1,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,RUBY
SINNERS,CYBERSHOKE,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,SINNERS
33,Oramond,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,33
Eternal Fire,JiJieHao,0,2,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,JiJieHao
FaZe,3DMAX,0,2,ESL Pro League Season 22,Results for October 5th 2025,3DMAX
Mamba mentality,BRUTE,1,2,Vodafone Talent League Fall 2025 Finals,Results for October 5th 2025,BRUTE
ESC,Nexus,2,0,ESL Challenger League Season 50 Europe Cup 3,Results for October 5th 2025,ESC
FURIA,G2,0,2,ESL Pro League Season 22,Results for October 5th 2025,G2
ShindeN,Fluxo,0,2,Circuit X South America Season 1,Results for October 5th 2025,Fluxo
Johnny Speeds,Sangal,2,1,Exort The Proving Grounds Season 5,Results for October 5th 2025,Johnny Speeds
OG,fnatic,0,2,Fragadelphia Blocktober 2025,Results for October 5th 2025,fnatic
Vitality,GamerLegion,2,0,ESL Pro League Season 22,Results for October 5th 2025,Vitality
Kaleido,Legion,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,Kaleido
Eruption,DEPO,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,DEPO
CYBERSHOKE,ESC,0,2,CCT Season 3 Europe Series 8,Results for October 5th 2025,ESC
Spirit,HOTU,2,0,ESL Pro League Season 22,Results for October 5th 2025,Spirit
NomadS,ScarX,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,NomadS
The Huns,BORING PLAYERS,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,The Huns
Aurora,Astralis,2,1,ESL Pro League Season 22,Results for October 5th 2025,Aurora
Rare Atom,NSN,1,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,Rare Atom
Last Bullet,Just Swing,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,Just Swing
Nexus,Eternal Fire,1,2,Exort The Proving Grounds Season 5,Results for October 5th 2025,Eternal Fire
Chinggis Warriors,True Thunder,1,0,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,Chinggis Warriors
IHC,FengDa,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 3,Results for October 5th 2025,FengDa
SINNERS,GUN5,0,2,CCT Season 3 Europe Series 8,Results for October 5th 2025,GUN5
MOUZ,Gentle Mates,2,0,ESL Pro League Season 22,Results for October 5th 2025,MOUZ
Ground Zero,FURY,2,0,ESL Challenger League Season 50 Oceania Cup 3,Results for October 5th 2025,Ground Zero
