team1,team2,score1,score2,event,date,winner,rank1,rank2
Morningstar,The Huns,2,0,ZHI-TECH Elite Masters 2026,Results for January 23rd 2026,Morningstar,82,67
BESTIA,ShindeN,2,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 23rd 2026,BESTIA,37,71
Imperial,ShindeN,0,2,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,ShindeN,23,71
9INE,Nuclear TigeRES,2,1,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,9INE,41,43
RED Canids,BESTIA,2,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,RED Canids,38,37
Ursa,Gentle Mates,0,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Gentle Mates,85,27
HEROIC,FURIA,1,2,BLAST Bounty 2026 Season 1 Finals,Results for January 22nd 2026,FURIA,22,2
9z,ShindeN,0,2,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,ShindeN,42,71
Gentle Mates,Nemesis,2,0,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Gentle Mates,27,45
ODDIK,Imperial,0,2,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,Imperial,47,23
EYEBALLERS,Nuclear TigeRES,1,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Nuclear TigeRES,34,43
BetBoom,Ursa,2,0,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,BetBoom,32,85
los kogutos,illwill,2,0,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 22nd 2026,los kogutos,89,46
HOTU,9INE,2,0,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,HOTU,35,41
Liquid,Falcons,0,2,BLAST Bounty 2026 Season 1 Finals,Results for January 22nd 2026,Falcons,15,3
BIG Academy,Nemesis,1,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Nemesis,81,45
Nemesis,Nemiga,0,1,CCT Season 3 Europe Series 13,Results for January 22nd 2026,Nemiga,45,55
Nuclear TigeRES,KOLESIE,2,0,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Nuclear TigeRES,43,54
FUT,EYEBALLERS,0,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,EYEBALLERS,14,34
MIBR,9z,1,0,BetBoom Circuit X Redemption Curitiba 2026,Results for January 22nd 2026,MIBR,28,42
Gentle Mates,GenOne,2,0,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Gentle Mates,27,56
GenOne,UNiTY,2,1,CCT Season 3 Europe Series 13,Results for January 22nd 2026,GenOne,56,91
BC.Game,Nemesis,1,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Nemesis,26,45
BESTIA,ShindeN,2,1,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,BESTIA,37,71
Imperial,RED Canids,1,2,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,RED Canids,23,38
fnatic,GenOne,1,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,GenOne,33,56
9INE,BIG Academy,2,1,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,9INE,41,81
ODDIK,Fluxo,2,1,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,ODDIK,47,66
Ursa,EYEBALLERS,2,1,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,Ursa,85,34
9z,Sharks,2,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 22nd 2026,9z,42,39
KOLESIE,BetBoom,1,2,IEM Rio 2026 Closed Qualifier,Results for January 22nd 2026,BetBoom,54,32
Gentle Mates,HOTU,0,2,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,HOTU,27,35
RED Canids,Sharks,2,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 21st 2026,RED Canids,38,39
ShindeN,Fluxo,2,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 21st 2026,ShindeN,71,66
Nuclear TigeRES,Sangal,2,1,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,Nuclear TigeRES,43,97
EYEBALLERS,Nemesis,2,1,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,EYEBALLERS,34,45
BESTIA,ODDIK,2,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 21st 2026,BESTIA,37,47
BetBoom,GenOne,2,1,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,BetBoom,32,56
Imperial,9z,1,0,IEM Rio 2026 Americas Closed Qualifier,Results for January 21st 2026,Imperial,23,42
K27,FUT,0,2,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,FUT,40,14
Oramond,BET-M,0,2,CCT Season 3 Europe Series 13,Results for January 21st 2026,BET-M,51,80
Ursa,BC.Game,2,0,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,Ursa,85,26
Fluxo,Fake do Biru,0,1,BetBoom Circuit X Redemption Curitiba 2026,Results for January 21st 2026,Fake do Biru,66,100
KOLESIE,fnatic,2,0,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,KOLESIE,54,33
Nemiga,ex-RUBY,1,2,CCT Season 3 Europe Series 13,Results for January 21st 2026,ex-RUBY,55,57
FUT,BIG Academy,1,2,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,BIG Academy,14,81
9INE,K27,2,1,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,9INE,41,40
HOTU,Sangal,2,1,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,HOTU,35,97
Nuclear TigeRES,Gentle Mates,1,2,IEM Rio 2026 Closed Qualifier,Results for January 21st 2026,Gentle Mates,43,27
MOUZ NXT,los kogutos,1,2,CCT Season 3 Europe Series 14 Closed Qualifier,Results for January 21st 2026,los kogutos,69,89
Nemesis,ARCRED,0,2,CCT Season 3 Europe Series 13,Results for January 21st 2026,ARCRED,45,60
1win,GenOne,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,1win,77,56
Sangal,FORZE Reload,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,Sangal,97,90
Nuclear TigeRES,UNiTY,2,0,CCT Season 3 Europe Series 13,Results for January 20th 2026,Nuclear TigeRES,43,91
Nemesis,FORZE Reload,2,0,CCT Season 3 Europe Series 13,Results for January 19th 2026,Nemesis,45,90
BET-M,FAVBET,2,0,CCT Season 3 Europe Series 13,Results for January 19th 2026,BET-M,80,68
Nemiga,GenOne,2,0,CCT Season 3 Europe Series 13,Results for January 19th 2026,Nemiga,55,56
Nuclear TigeRES,ARCRED,1,2,CCT Season 3 Europe Series 13,Results for January 19th 2026,ARCRED,43,60
Sharks,MIBR,3,2,BetBoom RUSH B Summit Season 1,Results for January 19th 2026,Sharks,39,28
FUT,FURIA,1,2,BLAST Bounty 2026 Season 1,Results for January 18th 2026,FURIA,14,2
Betclic,BIG,0,2,Roman Imperium Cup IV,Results for January 18th 2026,BIG,93,63
EYEBALLERS,Vitality,0,2,BLAST Bounty 2026 Season 1,Results for January 18th 2026,Vitality,34,1
Inner Circle,Spirit,0,2,BLAST Bounty 2026 Season 1,Results for January 18th 2026,Spirit,44,5
Sangal,illwill,0,2,CCT Season 3 Europe Series 13,Results for January 18th 2026,illwill,97,46
MOUZ NXT,Betclic,1,2,Roman Imperium Cup IV,Results for January 18th 2026,Betclic,69,93
PARIVISION,Astralis,2,0,BLAST Bounty 2026 Season 1,Results for January 18th 2026,PARIVISION,6,12
1win,ex-RUBY,0,2,CCT Season 3 Europe Series 13,Results for January 18th 2026,ex-RUBY,77,57
Legacy,MIBR,1,2,BetBoom RUSH B Summit Season 1,Results for January 18th 2026,MIBR,25,28
Tricked,Johnny Speeds,2,1,PLAYR Masters Season 1,Results for January 18th 2026,Tricked,59,73
MIBR,ShindeN,0,2,IEM Rio 2026 Americas Open Qualifier,Results for January 18th 2026,ShindeN,28,71
ShindeN,Fake do Biru,13,7,IEM Rio 2026 Americas Open Qualifier,Results for January 17th 2026,ShindeN,71,100
Nemesis,Ursa,2,1,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nemesis,45,85
Monte,Falcons,0,2,BLAST Bounty 2026 Season 1,Results for January 17th 2026,Falcons,31,3
MIBR,Imperial,2,0,BetBoom RUSH B Summit Season 1,Results for January 17th 2026,MIBR,28,23
Nuclear TigeRES,ENCE,2,1,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nuclear TigeRES,43,70
Sangal,KOLESIE,2,0,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Sangal,97,54
BIG Academy,GenOne,2,0,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,BIG Academy,81,56
GamerLegion,Aurora,2,1,BLAST Bounty 2026 Season 1,Results for January 17th 2026,GamerLegion,20,11
GenOne,los kogutos,1,0,A1 Gaming League Season 11,Results for January 17th 2026,GenOne,56,89
FORZE Reload,los kogutos,2,1,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 17th 2026,FORZE Reload,90,89
Nemesis,1win,13,10,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nemesis,45,77
Virtus.pro,Nuclear TigeRES,10,13,IEM Rio 2026 Open Qualifier,Results for January 17th 2026,Nuclear TigeRES,61,43
Gentle Mates,Liquid,1,2,BLAST Bounty 2026 Season 1,Results for January 17th 2026,Liquid,27,15
Ursa,illwill,0,2,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 17th 2026,illwill,85,46
paiN,HEROIC,0,2,BLAST Bounty 2026 Season 1,Results for January 17th 2026,HEROIC,18,22
Sashi,Johnny Speeds,0,2,PLAYR Masters Season 1,Results for January 17th 2026,Johnny Speeds,78,73
Sharks,Legacy,2,1,BetBoom RUSH B Summit Season 1,Results for January 17th 2026,Sharks,39,25
Gaimin Gladiators,Imperial,0,2,BetBoom RUSH B Summit Season 1,Results for January 17th 2026,Imperial,64,23
Fake do Biru,MIBR,0,2,BetBoom RUSH B Summit Season 1,Results for January 16th 2026,MIBR,100,28
9INE,FURIA,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,FURIA,41,2
Sashi,Tricked,9,13,PLAYR Masters Season 1,Results for January 16th 2026,Tricked,78,59
BetBoom,paiN,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,paiN,32,18
Sashi,HEROIC Academy,13,4,PLAYR Masters Season 1,Results for January 16th 2026,Sashi,78,96
SINNERS,Spirit,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,Spirit,65,5
ENCE,PARIVISION,0,2,BLAST Bounty 2026 Season 1,Results for January 16th 2026,PARIVISION,70,6
Tricked,HEROIC Academy,13,1,PLAYR Masters Season 1,Results for January 16th 2026,Tricked,59,96
MIBR,Legacy,0,2,BetBoom RUSH B Summit Season 1,Results for January 16th 2026,Legacy,28,25
Imperial,Sharks,0,2,BetBoom RUSH B Summit Season 1,Results for January 16th 2026,Sharks,23,39
ECSTATIC,Falcons,0,2,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Falcons,50,3
UNiTY,illwill,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 15th 2026,UNiTY,91,46
Ninjas in Pyjamas,Liquid,1,2,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Liquid,21,15
FORZE Reload,ARCRED,2,0,CCT Season 3 Europe Series 13 Closed Qualifier,Results for January 15th 2026,FORZE Reload,90,60
Inner Circle,3DMAX,2,1,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Inner Circle,44,13
M80,Gentle Mates,0,2,BLAST Bounty 2026 Season 1,Results for January 15th 2026,Gentle Mates,24,27
Imperial,Fake do Biru,2,0,BetBoom RUSH B Summit Season 1,Results for January 14th 2026,Imperial,23,100
Virtus.pro,Vitality,0,2,BLAST Bounty 2026 Season 1,Results for January 14th 2026,Vitality,61,1
Monte,Natus Vincere,2,1,BLAST Bounty 2026 Season 1,Results for January 14th 2026,Monte,31,8
MIBR,Gaimin Gladiators,2,0,BetBoom RUSH B Summit Season 1,Results for January 14th 2026,MIBR,28,64
Friendly Campers,HEROIC,0,2,BLAST Bounty 2026 Season 1,Results for January 14th 2026,HEROIC,62,22
Passion UA,GamerLegion,1,2,BLAST Bounty 2026 Season 1,Results for January 14th 2026,GamerLegion,17,20
HOTU,Aurora,1,2,BLAST Bounty 2026 Season 1,Results for January 13th 2026,Aurora,35,11
fnatic,Astralis,1,2,BLAST Bounty 2026 Season 1,Results for January 13th 2026,Astralis,33,12
EYEBALLERS,FaZe,2,1,BLAST Bounty 2026 Season 1,Results for January 13th 2026,EYEBALLERS,34,7
OG,FUT,0,2,BLAST Bounty 2026 Season 1,Results for January 13th 2026,FUT,52,14
M80,NRG,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 12th 2026,M80,24,19
NRG,Marsborne,2,1,fl0m Mythical LAN Las Vegas 2026,Results for January 12th 2026,NRG,19,53
M80,Voca,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 11th 2026,M80,24,49
BOSS,Marsborne,0,2,fl0m Mythical LAN Las Vegas 2026,Results for January 11th 2026,Marsborne,94,53
M80,BOSS,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,M80,24,94
NRG,Voca,2,0,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,NRG,19,49
Marsborne,BOSS,1,2,fl0m Mythical LAN Las Vegas 2026,Results for January 10th 2026,BOSS,53,94
ASTRAL,MOUZ NXT,0,2,Urban Riga Open Season 2,Results for January 5th 2026,MOUZ NXT,87,69
MOUZ NXT,Friendly Campers,2,0,Urban Riga Open Season 2,Results for January 5th 2026,MOUZ NXT,69,62
NRG,9INE,3,1,Fragadelphia Miami 2026,Results for January 5th 2026,NRG,19,41
GamerLegion,M80,2,0,Fragadelphia Miami 2026,Results for January 5th 2026,GamerLegion,20,24
9INE,M80,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,9INE,41,24
NRG,GamerLegion,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,NRG,19,20
M80,Marsborne,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,M80,24,53
9INE,Wildcard,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,9INE,41,75
NRG,Voca,2,1,Fragadelphia Miami 2026,Results for January 4th 2026,NRG,19,49
BetBoom,HOTU,2,0,META Cup Season 3,Results for January 4th 2026,BetBoom,32,35
ASTRAL,Friendly Campers,13,10,Urban Riga Open Season 2,Results for January 4th 2026,ASTRAL,87,62
BetBoom,HOTU,2,1,META Cup Season 3,Results for January 4th 2026,BetBoom,32,35
Wildcard,Sharks,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,Wildcard,75,39
GamerLegion,Sharks,2,0,Fragadelphia Miami 2026,Results for January 4th 2026,GamerLegion,20,39
Wildcard,Sharks,0,2,Fragadelphia Miami 2026,Results for January 3rd 2026,Sharks,75,39
Marsborne,NRG,1,2,Fragadelphia Miami 2026,Results for January 3rd 2026,NRG,53,19
M80,Voca,2,1,Fragadelphia Miami 2026,Results for January 3rd 2026,M80,24,49
Morningstar,Rare Atom,1,3,MaceMedia VOID Masters 2025,Results for December 30th 2025,Rare Atom,82,72
Rare Atom,Morningstar,1,2,MaceMedia VOID Masters 2025,Results for December 29th 2025,Morningstar,72,82
GenOne,Nemesis,2,0,Exort Meteor Season 1,Results for December 23rd 2025,GenOne,56,45
Nemesis,FORZE Reload,2,1,Exort Meteor Season 1,Results for December 23rd 2025,Nemesis,45,90
FORZE Reload,los kogutos,2,0,Exort Meteor Season 1,Results for December 22nd 2025,FORZE Reload,90,89
Sangal,Nemesis,0,2,Exort Meteor Season 1,Results for December 22nd 2025,Nemesis,97,45
ShindeN,9z,0,3,Cajunto Copa do Brasil 2025,Results for December 22nd 2025,9z,71,42
Gentle Mates,Ninjas in Pyjamas,0,2,Roman Imperium Cup III,Results for December 21st 2025,Ninjas in Pyjamas,27,21
CYBERSHOKE,BESTIA,0,2,Digital Crusade DraculaN Season 4,Results for December 21st 2025,BESTIA,58,37
K27,WHITEBIRD,3,0,Myskill Pro League Season 3 Finals,Results for December 21st 2025,K27,40,86
Sharks,ASTRAL,2,0,Roman Imperium Cup III,Results for December 21st 2025,Sharks,39,87
Friendly Campers,BESTIA,0,2,Digital Crusade DraculaN Season 4,Results for December 21st 2025,BESTIA,62,37
JiJieHao,Chinggis Warriors,1,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 21st 2025,Chinggis Warriors,79,83
Eruption,JiJieHao,0,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 21st 2025,JiJieHao,95,79
ASTRAL,Ninjas in Pyjamas,0,2,Roman Imperium Cup III,Results for December 20th 2025,Ninjas in Pyjamas,87,21
CYBERSHOKE,BESTIA,2,1,Digital Crusade DraculaN Season 4,Results for December 20th 2025,CYBERSHOKE,58,37
Friendly Campers,fnatic,2,1,Digital Crusade DraculaN Season 4,Results for December 20th 2025,Friendly Campers,62,33
fnatic,illwill,2,1,Digital Crusade DraculaN Season 4,Results for December 20th 2025,fnatic,33,46
Rare Atom,Chinggis Warriors,0,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 20th 2025,Chinggis Warriors,72,83
Nemesis,UNiTY,2,0,Exort Meteor Season 1,Results for December 20th 2025,Nemesis,45,91
Friendly Campers,9INE,2,0,Digital Crusade DraculaN Season 4,Results for December 20th 2025,Friendly Campers,62,41
Lynn Vision,JiJieHao,1,2,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 20th 2025,JiJieHao,36,79
BOSS,Voca,0,2,Dust2.us Eagle Masters Series 5,Results for December 20th 2025,Voca,94,49
illwill,BESTIA,0,2,Digital Crusade DraculaN Season 4,Results for December 19th 2025,BESTIA,46,37
Lazer Cats,fnatic,0,2,Digital Crusade DraculaN Season 4,Results for December 19th 2025,fnatic,92,33
CYBERSHOKE,Friendly Campers,2,1,Digital Crusade DraculaN Season 4,Results for December 19th 2025,CYBERSHOKE,58,62
The Huns,9INE,0,2,Digital Crusade DraculaN Season 4,Results for December 19th 2025,9INE,67,41
MOUZ NXT,fnatic,1,2,Digital Crusade DraculaN Season 4,Results for December 19th 2025,fnatic,69,33
Lazer Cats,ENCE,2,1,Digital Crusade DraculaN Season 4,Results for December 19th 2025,Lazer Cats,92,70
BESTIA,9INE,2,1,Digital Crusade DraculaN Season 4,Results for December 19th 2025,BESTIA,37,41
ENCE,Friendly Campers,0,2,Digital Crusade DraculaN Season 4,Results for December 19th 2025,Friendly Campers,70,62
CYBERSHOKE,fnatic,2,0,Digital Crusade DraculaN Season 4,Results for December 19th 2025,CYBERSHOKE,58,33
MOUZ NXT,Inner Circle,2,1,Digital Crusade DraculaN Season 4,Results for December 18th 2025,MOUZ NXT,69,44
The Huns,HEROIC Academy,2,1,Digital Crusade DraculaN Season 4,Results for December 18th 2025,The Huns,67,96
Inner Circle,illwill,1,2,Digital Crusade DraculaN Season 4,Results for December 18th 2025,illwill,44,46
Oramond,magic,2,1,NODWIN Clutch Series 3,Results for December 18th 2025,Oramond,51,48
BESTIA,Lazer Cats,2,0,Digital Crusade DraculaN Season 4,Results for December 18th 2025,BESTIA,37,92
ARCRED,magic,0,2,NODWIN Clutch Series 3,Results for December 18th 2025,magic,60,48
fnatic,G2 Ares,2,1,Digital Crusade DraculaN Season 4,Results for December 18th 2025,fnatic,33,84
ENCE,The Huns,2,0,Digital Crusade DraculaN Season 4,Results for December 18th 2025,ENCE,70,67
Friendly Campers,HEROIC Academy,2,0,Digital Crusade DraculaN Season 4,Results for December 18th 2025,Friendly Campers,62,96
JiJieHao,Eruption,16,19,ZOWIE eXTREMESLAND Asia Open 2025,Results for December 18th 2025,Eruption,79,95
Johnny Speeds,magic,1,2,NODWIN Clutch Series 3,Results for December 18th 2025,magic,73,48
EYEBALLERS,Oramond,1,2,NODWIN Clutch Series 3,Results for December 17th 2025,Oramond,34,51
illwill,MOUZ NXT,2,13,Digital Crusade DraculaN Season 4,Results for December 17th 2025,MOUZ NXT,46,69
HEROIC Academy,The Huns,13,7,Digital Crusade DraculaN Season 4,Results for December 17th 2025,HEROIC Academy,96,67
CYBERSHOKE,Nuclear TigeRES,2,1,NODWIN Clutch Series 3,Results for December 15th 2025,CYBERSHOKE,58,43
Vitality,FaZe,3,1,StarLadder Budapest Major 2025,Results for December 14th 2025,Vitality,1,7
9INE,BIG,1,2,CCT Season 3 Europe Series 12,Results for December 14th 2025,BIG,41,63
FaZe,Natus Vincere,2,1,StarLadder Budapest Major 2025,Results for December 14th 2025,FaZe,7,8
Oramond,BIG,1,2,CCT Season 3 Europe Series 12,Results for December 13th 2025,BIG,51,63
Spirit,Vitality,0,2,StarLadder Budapest Major 2025,Results for December 13th 2025,Vitality,5,1
9INE,Alliance,2,0,CCT Season 3 Europe Series 12,Results for December 13th 2025,9INE,41,76
FURIA,Natus Vincere,1,2,StarLadder Budapest Major 2025,Results for December 12th 2025,Natus Vincere,2,8
BetBoom,Johnny Speeds,2,1,CCT Season 3 Europe Series 12,Results for December 12th 2025,BetBoom,32,73
BIG,Sangal,2,1,CCT Season 3 Europe Series 12,Results for December 12th 2025,BIG,63,97
MOUZ,FaZe,0,2,StarLadder Budapest Major 2025,Results for December 12th 2025,FaZe,4,7
Vitality,The MongolZ,2,0,StarLadder Budapest Major 2025,Results for December 11th 2025,Vitality,1,10
Spirit,Falcons,2,0,StarLadder Budapest Major 2025,Results for December 11th 2025,Spirit,5,3
ECSTATIC,Oramond,1,2,CCT Season 3 Europe Series 12,Results for December 11th 2025,Oramond,50,51
BC.Game,CYBERSHOKE,0,1,CCT Season 3 Europe Series 12,Results for December 10th 2025,CYBERSHOKE,26,58
FUT,ECSTATIC,3,0,Galaxy Battle 2025 Phase 5,Results for December 9th 2025,FUT,14,50
Johnny Speeds,Oramond,0,2,CCT Season 3 Europe Series 12,Results for December 9th 2025,Oramond,73,51
Ursa,Nemiga,2,0,Myskill Pro League Season 3,Results for December 8th 2025,Ursa,85,55
Nemiga,FORZE Reload,1,2,CCT Season 3 Europe Series 12,Results for December 8th 2025,FORZE Reload,55,90
BetBoom,FUT,0,2,Galaxy Battle 2025 Phase 5,Results for December 8th 2025,FUT,32,14
Johnny Speeds,EYEBALLERS,0,2,European Pro League Series 3,Results for December 8th 2025,EYEBALLERS,73,34
G2,Falcons,1,2,StarLadder Budapest Major 2025,Results for December 7th 2025,Falcons,9,3
CYBERSHOKE,Oramond,2,0,CCT Season 3 Europe Series 12,Results for December 7th 2025,CYBERSHOKE,58,51
FaZe,Passion UA,2,0,StarLadder Budapest Major 2025,Results for December 7th 2025,FaZe,7,17
CYBERSHOKE,ECSTATIC,1,2,Galaxy Battle 2025 Phase 5,Results for December 7th 2025,ECSTATIC,58,50
B8,Natus Vincere,0,2,StarLadder Budapest Major 2025,Results for December 7th 2025,Natus Vincere,16,8
EYEBALLERS,Sangal,2,1,European Pro League Series 3,Results for December 7th 2025,EYEBALLERS,34,97
FUT,Inner Circle,2,0,Galaxy Battle 2025 Phase 5,Results for December 7th 2025,FUT,14,44
BetBoom,Oramond,2,0,Galaxy Battle 2025 Phase 5,Results for December 7th 2025,BetBoom,32,51
G2,The MongolZ,0,2,StarLadder Budapest Major 2025,Results for December 6th 2025,The MongolZ,9,10
3DMAX,FaZe,0,2,StarLadder Budapest Major 2025,Results for December 6th 2025,FaZe,13,7
MOUZ,Falcons,2,1,StarLadder Budapest Major 2025,Results for December 6th 2025,MOUZ,4,3
Passion UA,Imperial,2,0,StarLadder Budapest Major 2025,Results for December 6th 2025,Passion UA,17,23
Sashi,Sangal,0,2,CCT Season 3 Europe Series 12,Results for December 6th 2025,Sangal,78,97
B8,paiN,2,0,StarLadder Budapest Major 2025,Results for December 6th 2025,B8,16,18
Natus Vincere,Vitality,0,2,StarLadder Budapest Major 2025,Results for December 6th 2025,Vitality,8,1
9INE,CYBERSHOKE,1,2,Galaxy Battle 2025 Phase 5,Results for December 6th 2025,CYBERSHOKE,41,58
FURIA,G2,2,0,StarLadder Budapest Major 2025,Results for December 5th 2025,FURIA,2,9
PARIVISION,3DMAX,1,2,StarLadder Budapest Major 2025,Results for December 5th 2025,3DMAX,6,13
MOUZ,Spirit,1,2,StarLadder Budapest Major 2025,Results for December 5th 2025,Spirit,4,5
Alliance,Sangal,2,0,CCT Season 3 Europe Series 12,Results for December 5th 2025,Alliance,76,97
Passion UA,Liquid,2,0,StarLadder Budapest Major 2025,Results for December 5th 2025,Passion UA,17,15
paiN,Natus Vincere,8,13,StarLadder Budapest Major 2025,Results for December 5th 2025,Natus Vincere,18,8
Imperial,Falcons,1,13,StarLadder Budapest Major 2025,Results for December 5th 2025,Falcons,23,3
FaZe,The MongolZ,7,13,StarLadder Budapest Major 2025,Results for December 5th 2025,The MongolZ,7,10
B8,Vitality,2,13,StarLadder Budapest Major 2025,Results for December 5th 2025,Vitality,16,1
Sangal,Oramond,2,0,European Pro League Series 3,Results for December 5th 2025,Sangal,97,51
Inner Circle,FORZE Reload,2,0,Galaxy Battle 2025 Phase 5,Results for December 5th 2025,Inner Circle,44,90
EYEBALLERS,Nuclear TigeRES,2,1,European Pro League Series 3,Results for December 5th 2025,EYEBALLERS,34,43
FURIA,Imperial,13,5,StarLadder Budapest Major 2025,Results for December 4th 2025,FURIA,2,23
PARIVISION,Natus Vincere,6,13,StarLadder Budapest Major 2025,Results for December 4th 2025,Natus Vincere,6,8
Liquid,The MongolZ,9,13,StarLadder Budapest Major 2025,Results for December 4th 2025,The MongolZ,15,10
MOUZ,B8,13,6,StarLadder Budapest Major 2025,Results for December 4th 2025,MOUZ,4,16
FaZe,Spirit,5,13,StarLadder Budapest Major 2025,Results for December 4th 2025,Spirit,7,5
Passion UA,Falcons,5,13,StarLadder Budapest Major 2025,Results for December 4th 2025,Falcons,17,3
3DMAX,Vitality,4,13,StarLadder Budapest Major 2025,Results for December 4th 2025,Vitality,13,1
paiN,G2,7,13,StarLadder Budapest Major 2025,Results for December 4th 2025,G2,18,9
Johnny Speeds,FORZE Reload,2,1,CCT Season 3 Europe Series 12,Results for December 4th 2025,Johnny Speeds,73,90
B8,Falcons,13,10,StarLadder Budapest Major 2025,Results for December 4th 2025,B8,16,3
FURIA,Natus Vincere,13,2,StarLadder Budapest Major 2025,Results for December 4th 2025,FURIA,2,8
Vitality,FaZe,7,13,StarLadder Budapest Major 2025,Results for December 4th 2025,FaZe,1,7
paiN,3DMAX,13,10,StarLadder Budapest Major 2025,Results for December 4th 2025,paiN,18,13
Spirit,Liquid,13,8,StarLadder Budapest Major 2025,Results for December 4th 2025,Spirit,5,15
Passion UA,G2,8,13,StarLadder Budapest Major 2025,Results for December 4th 2025,G2,17,9
Imperial,The MongolZ,16,14,StarLadder Budapest Major 2025,Results for December 4th 2025,Imperial,23,10
MOUZ,PARIVISION,16,14,StarLadder Budapest Major 2025,Results for December 4th 2025,MOUZ,4,6
Sashi,FORZE Reload,2,0,CCT Season 3 Europe Series 12,Results for December 3rd 2025,Sashi,78,90
Oramond,Nuclear TigeRES,2,0,NODWIN Clutch Series 3,Results for December 3rd 2025,Oramond,51,43
Ninjas in Pyjamas,3DMAX,0,2,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,3DMAX,21,13
Liquid,Astralis,2,0,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,Liquid,15,12
Passion UA,M80,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,Passion UA,17,24
Nemiga,Oramond,0,2,CCT Season 3 Europe Series 12,Results for December 2nd 2025,Oramond,55,51
B8,3DMAX,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 2nd 2025,B8,16,13
Liquid,TYLOO,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,Liquid,15,30
