match_id,team1,team2,map_name,score_t1,score_t2,map_winner,map_number,date
2389058,Oramond,FAVBET,Inferno,7,13,FAVBET,1,4th of February 2026
2389058,Oramond,FAVBET,Nuke,13,10,Oramond,2,4th of February 2026
2389058,Oramond,FAVBET,Train,13,4,Oramond,3,4th of February 2026
2389058,Oramond,FAVBET,Ancient,2,13,FAVBET,4,4th of February 2026
2389058,Oramond,FAVBET,Dust2,13,4,Oramond,5,4th of February 2026
2389563,ENCE,ex-RUBY,Anubis,8,13,ex-RUBY,1,4th of February 2026
2389563,ENCE,ex-RUBY,Mirage,5,13,ex-RUBY,2,4th of February 2026
2389233,ECSTATIC,Sangal,Nuke,13,7,ECSTATIC,1,4th of February 2026
2389233,ECSTATIC,Sangal,Ancient,13,8,ECSTATIC,2,4th of February 2026
2389562,Nuclear TigeRES,KOLESIE,Ancient,13,7,Nuclear TigeRES,1,4th of February 2026
2389562,Nuclear TigeRES,KOLESIE,Nuke,5,13,KOLESIE,2,4th of February 2026
2389562,Nuclear TigeRES,KOLESIE,Mirage,8,13,KOLESIE,3,4th of February 2026
2389731,Nemiga,K27,Anubis,12,16,K27,1,3rd of February 2026
2389731,Nemiga,K27,Nuke,10,13,K27,2,3rd of February 2026
2389660,Falcons,MOUZ,Inferno,14,16,MOUZ,1,3rd of February 2026
2389660,Falcons,MOUZ,Dust2,17,19,MOUZ,2,3rd of February 2026
2389561,SINNERS,magic,Ancient,10,13,magic,1,3rd of February 2026
2389561,SINNERS,magic,Mirage,13,7,SINNERS,2,3rd of February 2026
2389561,SINNERS,magic,Dust2,8,13,magic,3,3rd of February 2026
2389658,Vitality,Aurora,Ancient,25,22,Vitality,1,3rd of February 2026
2389658,Vitality,Aurora,Overpass,13,7,Vitality,2,3rd of February 2026
2389730,ARCRED,K27,Anubis,13,5,ARCRED,1,3rd of February 2026
2389730,ARCRED,K27,Nuke,10,13,K27,2,3rd of February 2026
2389730,ARCRED,K27,Dust2,13,16,K27,3,3rd of February 2026
2389765,ShindeN,9z,Overpass,16,13,ShindeN,1,3rd of February 2026
2389765,ShindeN,9z,Ancient,5,13,9z,2,3rd of February 2026
2389765,ShindeN,9z,Nuke,10,13,9z,3,3rd of February 2026
2389659,G2,Spirit,Anubis,8,13,Spirit,1,3rd of February 2026
2389659,G2,Spirit,Overpass,13,8,G2,2,3rd of February 2026
2389659,G2,Spirit,Dust2,13,16,Spirit,3,3rd of February 2026
2389657,Astralis,FURIA,Overpass,13,8,Astralis,1,3rd of February 2026
2389657,Astralis,FURIA,Mirage,11,13,FURIA,2,3rd of February 2026
2389657,Astralis,FURIA,Nuke,9,13,FURIA,3,3rd of February 2026
