team1,team2,score1,score2,event,date,match_url,winner
fnatic,OG,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390108/fnatic-vs-og-iem-atlanta-2026-closed-qualifier,fnatic
ENCE,CYBERSHOKE,2,1,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390105/ence-vs-cybershoke-iem-atlanta-2026-closed-qualifier,ENCE
Nuclear TigeRES,SINNERS,1,2,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390107/nuclear-tigeres-vs-sinners-iem-atlanta-2026-closed-qualifier,SINNERS
Bebop,Washington,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390008/bebop-vs-washington-cct-season-3-europe-series-16-closed-qualifier,Bebop
BIG EQUIPA,Nexus,0,2,CCT Season 3 Europe Series 15,Results for February 10th 2026,https://www.hltv.org/matches/2389846/big-equipa-vs-nexus-cct-season-3-europe-series-15,Nexus
BetBoom,BASEMENT BOYS,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390104/betboom-vs-basement-boys-iem-atlanta-2026-closed-qualifier,BetBoom
Alliance,Johnny Speeds,2,0,IEM Atlanta 2026 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390106/alliance-vs-johnny-speeds-iem-atlanta-2026-closed-qualifier,Alliance
ASTRAL,kONO,2,1,CCT Season 3 Europe Series 15,Results for February 10th 2026,https://www.hltv.org/matches/2389845/astral-vs-kono-cct-season-3-europe-series-15,ASTRAL
VP.Prodigy,MASONIC,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 10th 2026,https://www.hltv.org/matches/2390007/vpprodigy-vs-masonic-cct-season-3-europe-series-16-closed-qualifier,VP.Prodigy
SportsBetExpert,Reign Above,2,0,Dust2.us Eagle Masters Series 6,Results for February 10th 2026,https://www.hltv.org/matches/2390174/sportsbetexpert-vs-reign-above-dust2us-eagle-masters-series-6,SportsBetExpert
