match_id,veto_order,team,action,map_name
2389788,1,9z,removed,Anubis
2389788,2,ex-KRÜ,removed,Ancient
2389788,3,9z,picked,Overpass
2389788,4,ex-KRÜ,picked,Mirage
2389788,5,9z,removed,Inferno
2389788,6,ex-KRÜ,removed,Nuke
2389787,1,Vasco,removed,Nuke
2389787,2,LP,removed,Anubis
2389787,3,Vasco,picked,Dust2
2389787,4,LP,picked,Inferno
2389787,5,Vasco,removed,Ancient
2389787,6,LP,removed,Overpass
2390084,1,pugs4contract,removed,Nuke
2390084,2,BET-M,removed,Overpass
2390084,3,pugs4contract,picked,Mirage
2390084,4,BET-M,picked,Inferno
2390084,5,pugs4contract,removed,Dust2
2390084,6,BET-M,removed,Anubis
2390085,1,Phantom,removed,Inferno
2390085,2,OG,removed,Anubis
2390085,3,Phantom,picked,Nuke
2390085,4,OG,picked,Overpass
2390085,5,Phantom,removed,Ancient
2390085,6,OG,removed,Dust2
2389840,1,ex-Zero Tenacity,removed,Ancient
2389840,2,ASTRAL,removed,Overpass
2389840,3,ex-Zero Tenacity,picked,Dust2
2389840,4,ASTRAL,picked,Nuke
2389840,5,ex-Zero Tenacity,removed,Mirage
2389840,6,ASTRAL,removed,Inferno
2390087,1,BASEMENT BOYS,removed,Overpass
2390087,2,ARCRED,removed,Inferno
2390087,3,BASEMENT BOYS,picked,Nuke
2390087,4,ARCRED,picked,Anubis
2390087,5,BASEMENT BOYS,removed,Ancient
2390087,6,ARCRED,removed,Mirage
2390083,1,brazylijski luz,removed,Dust2
2390083,2,BASEMENT BOYS,removed,Ancient
2390083,3,BASEMENT BOYS,removed,Inferno
2390083,4,brazylijski luz,removed,Anubis
2390083,5,brazylijski luz,removed,Mirage
2390083,6,BASEMENT BOYS,removed,Overpass
2390078,1,Lazer Cats,removed,Overpass
2390078,2,Phantom,removed,Ancient
2390078,3,Phantom,removed,Inferno
2390078,4,Lazer Cats,removed,Nuke
2390078,5,Lazer Cats,removed,Dust2
2390078,6,Phantom,removed,Mirage
2390077,1,BET-M,removed,Inferno
2390077,2,QWENTRY,removed,Dust2
2390077,3,QWENTRY,removed,Overpass
2390077,4,BET-M,removed,Ancient
2390077,5,BET-M,removed,Mirage
2390077,6,QWENTRY,removed,Anubis
2389786,1,Players,removed,Overpass
2389786,2,Fake do Biru,removed,Ancient
2389786,3,Players,picked,Mirage
2389786,4,Fake do Biru,picked,Anubis
2389786,5,Players,removed,Nuke
2389786,6,Fake do Biru,removed,Inferno
2389839,1,GenOne,removed,Mirage
2389839,2,VP.Prodigy,removed,Ancient
2389839,3,GenOne,picked,Overpass
2389839,4,VP.Prodigy,picked,Nuke
2389839,5,GenOne,removed,Inferno
2389839,6,VP.Prodigy,removed,Anubis
2390080,1,HAVU,removed,Ancient
2390080,2,Nuclear TigeRES,removed,Overpass
2390080,3,Nuclear TigeRES,removed,Nuke
2390080,4,HAVU,removed,Inferno
2390080,5,HAVU,removed,Mirage
2390080,6,Nuclear TigeRES,removed,Dust2
2390076,1,WATERMELON,removed,Mirage
2390076,2,pugs4contract,removed,Dust2
2390076,3,pugs4contract,removed,Inferno
2390076,4,WATERMELON,removed,Anubis
2390076,5,WATERMELON,removed,Nuke
2390076,6,pugs4contract,removed,Ancient
2390082,1,VODKA,removed,Inferno
2390082,2,ARCRED,removed,Overpass
2390082,3,ARCRED,removed,Mirage
2390082,4,VODKA,removed,Anubis
2390082,5,VODKA,removed,Nuke
2390082,6,ARCRED,removed,Ancient
2390079,1,Metizport,removed,Ancient
2390079,2,OG,removed,Nuke
2390079,3,OG,removed,Mirage
2390079,4,Metizport,removed,Dust2
2390079,5,Metizport,removed,Anubis
2390079,6,OG,removed,Overpass
2390081,1,MOUZ NXT,removed,Inferno
2390081,2,AY4S,removed,Nuke
2390081,3,AY4S,removed,Anubis
2390081,4,MOUZ NXT,removed,Mirage
2390081,5,MOUZ NXT,removed,Overpass
2390081,6,AY4S,removed,Ancient
2389785,1,Procyon,removed,Ancient
2389785,2,FOLHA AMARELA,removed,Overpass
2389785,3,Procyon,picked,Mirage
2389785,4,FOLHA AMARELA,picked,Dust2
2389785,5,Procyon,removed,Nuke
2389785,6,FOLHA AMARELA,removed,Inferno
2389838,1,Nexus,removed,Nuke
2389838,2,FAVBET,removed,Mirage
2389838,3,Nexus,picked,Dust2
2389838,4,FAVBET,picked,Anubis
2389838,5,Nexus,removed,Overpass
2389838,6,FAVBET,removed,Ancient
2389837,1,Acend,removed,Nuke
2389837,2,kONO,removed,Mirage
2389837,3,Acend,picked,Inferno
2389837,4,kONO,picked,Anubis
2389837,5,Acend,removed,Dust2
2389837,6,kONO,removed,Ancient
2389747,1,Rooster,removed,Ancient
2389747,2,THUNDER dOWNUNDER,removed,Mirage
2389747,3,Rooster,picked,Overpass
2389747,4,THUNDER dOWNUNDER,picked,Nuke
2389747,5,Rooster,removed,Inferno
2389747,6,THUNDER dOWNUNDER,removed,Anubis
2389746,1,Rooster,removed,Ancient
2389746,2,Mindfreak,removed,Dust2
2389746,3,Rooster,picked,Overpass
2389746,4,Mindfreak,picked,Nuke
2389746,5,Rooster,removed,Inferno
2389746,6,Mindfreak,removed,Mirage
2389759,1,LAG,removed,Overpass
2389759,2,Sakura,removed,Inferno
2389759,3,LAG,picked,Ancient
2389759,4,Sakura,picked,Nuke
2389759,5,LAG,removed,Anubis
2389759,6,Sakura,removed,Dust2
2389758,1,Zomblers,removed,Overpass
2389758,2,Marsborne,removed,Dust2
2389758,3,Zomblers,picked,Ancient
2389758,4,Marsborne,picked,Anubis
2389758,5,Zomblers,removed,Inferno
2389758,6,Marsborne,removed,Mirage
2389929,1,OverKnight,removed,Inferno
2389929,2,Aether,removed,Dust2
2389929,3,OverKnight,picked,Mirage
2389929,4,Aether,picked,Nuke
2389929,5,OverKnight,removed,Overpass
2389929,6,Aether,removed,Anubis
2389836,1,los kogutos,removed,Overpass
2389836,2,Aurora Young Blud,removed,Inferno
2389836,3,los kogutos,picked,Mirage
2389836,4,Aurora Young Blud,picked,Dust2
2389836,5,los kogutos,removed,Nuke
2389836,6,Aurora Young Blud,removed,Anubis
2389783,1,ShindeN,removed,Anubis
2389783,2,GameHunters,removed,Overpass
2389783,3,ShindeN,picked,Mirage
2389783,4,GameHunters,picked,Nuke
2389783,5,ShindeN,removed,Inferno
2389783,6,GameHunters,removed,Ancient
2389835,1,WHITEBIRD,removed,Anubis
2389835,2,Rebels,removed,Mirage
2389835,3,WHITEBIRD,picked,Dust2
2389835,4,Rebels,picked,Inferno
2389835,5,WHITEBIRD,removed,Nuke
2389835,6,Rebels,removed,Ancient
2389784,1,Bad Luck,removed,Mirage
2389784,2,FURIA fe,removed,Overpass
2389784,3,Bad Luck,picked,Nuke
2389784,4,FURIA fe,picked,Ancient
2389784,5,Bad Luck,removed,Dust2
2389784,6,FURIA fe,removed,Anubis
2389170,1,MASONIC,removed,Dust2
2389170,2,los kogutos,removed,Inferno
2389170,3,MASONIC,picked,Ancient
2389170,4,los kogutos,picked,Mirage
2389170,5,MASONIC,removed,Anubis
2389170,6,los kogutos,removed,Overpass
2389781,1,BESTIA Academy,removed,Anubis
