match_id,map_name,map_number,team1,team2,pistol1_winner,pistol2_winner
2386350,Inferno,1,Tricked,SINNERS,SINNERS,Tricked
2386350,Mirage,2,Tricked,SINNERS,SINNERS,SINNERS
2385925,Overpass,1,FURIA,M80,FURIA,FURIA
2385925,Inferno,2,FURIA,M80,FURIA,FURIA
2385924,Dust2,1,3DMAX,ENCE,3DMAX,3DMAX
2385924,Nuke,2,3DMAX,ENCE,ENCE,3DMAX
2385924,Ancient,3,3DMAX,ENCE,3DMAX,3DMAX
2385923,Mirage,1,Astralis,HEROIC,HEROIC,Astralis
2385923,Inferno,2,Astralis,HEROIC,HEROIC,Astralis
2385923,Nuke,3,Astralis,HEROIC,Astralis,Astralis
2386265,Inferno,1,Tricked,SINNERS,SINNERS,SINNERS
2386265,Mirage,2,Tricked,SINNERS,SINNERS,SINNERS
2385922,Ancient,1,G2,Fluxo,Fluxo,G2
2385922,Inferno,2,G2,Fluxo,G2,G2
2385922,Mirage,3,G2,Fluxo,G2,G2
2385921,Ancient,1,GamerLegion,B8,GamerLegion,GamerLegion
2385921,Inferno,2,GamerLegion,B8,GamerLegion,GamerLegion
2386004,Train,1,BetBoom,CYBERSHOKE,BetBoom,CYBERSHOKE
2386004,Mirage,2,BetBoom,CYBERSHOKE,CYBERSHOKE,CYBERSHOKE
2386112,Inferno,1,MIBR,Imperial,Imperial,Imperial
2386112,Mirage,2,MIBR,Imperial,Imperial,Imperial
2386112,Nuke,3,MIBR,Imperial,MIBR,MIBR
2386112,Overpass,4,MIBR,Imperial,MIBR,MIBR
2386112,Train,5,MIBR,Imperial,Imperial,MIBR
2386111,Dust2,1,Gaimin Gladiators,ODDIK,ODDIK,ODDIK
2386111,Train,2,Gaimin Gladiators,ODDIK,Gaimin Gladiators,Gaimin Gladiators
2386258,Ancient,1,Passion UA,EYEBALLERS,Passion UA,Passion UA
2386258,Dust2,2,Passion UA,EYEBALLERS,EYEBALLERS,Passion UA
2386258,Nuke,3,Passion UA,EYEBALLERS,EYEBALLERS,EYEBALLERS
2386003,Dust2,1,1win,CYBERSHOKE,CYBERSHOKE,CYBERSHOKE
2386003,Mirage,2,1win,CYBERSHOKE,1win,1win
2386003,Ancient,3,1win,CYBERSHOKE,1win,CYBERSHOKE
2386257,Mirage,1,BIG,EYEBALLERS,EYEBALLERS,BIG
2386257,Overpass,2,BIG,EYEBALLERS,EYEBALLERS,BIG
2385919,Dust2,1,HEROIC,3DMAX,HEROIC,HEROIC
2385919,Inferno,2,HEROIC,3DMAX,3DMAX,3DMAX
2385920,Dust2,1,FURIA,Legacy,Legacy,FURIA
2385920,Mirage,2,FURIA,Legacy,FURIA,Legacy
2386253,Inferno,1,Passion UA,EYEBALLERS,Passion UA,Passion UA
2386253,Nuke,2,Passion UA,EYEBALLERS,EYEBALLERS,Passion UA
2386253,Overpass,3,Passion UA,EYEBALLERS,EYEBALLERS,EYEBALLERS
2386256,Mirage,1,MOUZ NXT,BIG,BIG,BIG
2386190,Mirage,1,Tricked,Johnny Speeds,Tricked,Johnny Speeds
2386190,Nuke,2,Tricked,Johnny Speeds,Tricked,Tricked
2385918,Nuke,1,NRG,Fluxo,NRG,NRG
2385918,Train,2,NRG,Fluxo,Fluxo,Fluxo
2385917,Nuke,1,Astralis,GamerLegion,GamerLegion,GamerLegion
2385917,Overpass,2,Astralis,GamerLegion,Astralis,Astralis
2386284,Dust2,1,1win,FORZE Reload,1win,FORZE Reload
2386284,Overpass,2,1win,FORZE Reload,FORZE Reload,1win
2386254,Overpass,1,BIG,OG,OG,OG
2386187,Dust2,1,Monte,FAVBET,Monte,FAVBET
2386187,Nuke,2,Monte,FAVBET,Monte,FAVBET
2386187,Ancient,3,Monte,FAVBET,FAVBET,FAVBET
2385915,Nuke,1,Inner Circle,Gentle Mates,Inner Circle,Gentle Mates
2385915,Mirage,2,Inner Circle,Gentle Mates,Inner Circle,Inner Circle
2385915,Ancient,3,Inner Circle,Gentle Mates,Gentle Mates,Gentle Mates
2385916,Mirage,1,G2,B8,B8,G2
2385916,Dust2,2,G2,B8,B8,G2
2385916,Ancient,3,G2,B8,B8,B8
2386249,Nuke,1,MOUZ NXT,EYEBALLERS,MOUZ NXT,EYEBALLERS
2386249,Overpass,2,MOUZ NXT,EYEBALLERS,EYEBALLERS,MOUZ NXT
2386251,Overpass,1,OG,Alliance,Alliance,OG
2386250,Inferno,1,Passion UA,BIG,Passion UA,BIG
2386250,Train,2,Passion UA,BIG,Passion UA,BIG
2386250,Dust2,3,Passion UA,BIG,Passion UA,Passion UA
2386259,Dust2,1,Johnny Speeds,1win,1win,Johnny Speeds
2386259,Overpass,2,Johnny Speeds,1win,Johnny Speeds,Johnny Speeds
2386259,Train,3,Johnny Speeds,1win,Johnny Speeds,Johnny Speeds
2386246,Overpass,1,Alliance,EYEBALLERS,Alliance,EYEBALLERS
2386246,Nuke,2,Alliance,EYEBALLERS,EYEBALLERS,Alliance
2386246,Train,3,Alliance,EYEBALLERS,Alliance,EYEBALLERS
2385913,Dust2,1,HOTU,ENCE,ENCE,HOTU
2385913,Ancient,2,HOTU,ENCE,HOTU,ENCE
2386245,Mirage,1,OG,MOUZ NXT,MOUZ NXT,MOUZ NXT
2386245,Ancient,2,OG,MOUZ NXT,MOUZ NXT,MOUZ NXT
2386109,Overpass,1,MIBR,ODDIK,ODDIK,ODDIK
2386109,Inferno,2,MIBR,ODDIK,ODDIK,MIBR
2386109,Nuke,3,MIBR,ODDIK,MIBR,ODDIK
2386110,Inferno,1,Imperial,Gaimin Gladiators,Imperial,Imperial
2386110,Nuke,2,Imperial,Gaimin Gladiators,Gaimin Gladiators,Imperial
2386107,Nuke,1,Sharks,Imperial,Sharks,Imperial
2386107,Overpass,2,Sharks,Imperial,Imperial,Imperial
2386105,Nuke,1,RED Canids,ODDIK,ODDIK,ODDIK
2386105,Overpass,2,RED Canids,ODDIK,RED Canids,ODDIK
2386105,Ancient,3,RED Canids,ODDIK,RED Canids,ODDIK
2386106,Inferno,1,BESTIA,MIBR,BESTIA,MIBR
2386106,Overpass,2,BESTIA,MIBR,MIBR,MIBR
2385911,Inferno,1,G2,Gentle Mates,G2,G2
2385911,Mirage,2,G2,Gentle Mates,Gentle Mates,G2
2385911,Ancient,3,G2,Gentle Mates,Gentle Mates,Gentle Mates
2385912,Inferno,1,FURIA,Fluxo,FURIA,Fluxo
2385912,Mirage,2,FURIA,Fluxo,Fluxo,FURIA
2385910,Mirage,1,Legacy,NRG,NRG,Legacy
2385910,Nuke,2,Legacy,NRG,NRG,NRG
2385910,Dust2,3,Legacy,NRG,NRG,NRG
